         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5601d04d8000
     0.028 ( 0.003 ms): memoriaOverhea/7 access(filename: 0x850144e7                                           ) = -1 ENOENT No such file or directory
     0.033 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x85016c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.037 ( 0.003 ms): memoriaOverhea/7 open(filename: 0x85014988, flags: CLOEXEC                             ) = 3
     0.041 ( 0.003 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffbe31f410                                  ) = 0
     0.045 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6f85216000
     0.048 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.051 ( 0.001 ms): memoriaOverhea/7 access(filename: 0x850144e7                                           ) = -1 ENOENT No such file or directory
     0.054 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x8521cd68, flags: CLOEXEC                             ) = 3
     0.059 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fffbe31f5b8, count: 832                           ) = 832
     0.062 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffbe31f450                                  ) = 0
     0.064 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6f85214000
     0.068 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f6f84c58000
     0.072 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f6f84ded000, len: 2097152                          ) = 0
     0.076 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f6f84fed000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f6f84fed000
     0.082 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f6f84ff3000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f6f84ff3000
     0.088 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.097 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140116951651392                        ) = 0
     0.130 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f6f84fed000, len: 16384, prot: READ                ) = 0
     0.139 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x5601cebf5000, len: 4096, prot: READ                 ) = 0
     0.143 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f6f8521a000, len: 4096, prot: READ                 ) = 0
     0.146 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f6f85216000, len: 13580                               ) = 0
     0.172 ( 0.005 ms): memoriaOverhea/7 pipe2(fildes: 0x7fffbe31e810, flags: CLOEXEC                          ) = 0
     0.179 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f6f8520b000
     0.181 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fffbe31e790, oset: 0x7fffbe31e818, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.185 ([33m 0.146 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140116951646192, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5601ce9f4ca8) ...
     0.331 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.332 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f6f85213ea0, sigsetsize: 8        ) = 0
     0.334 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f6f85213db0, sigsetsize: 8            ) = 0
     0.336 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f6f85213d10, sigsetsize: 8             ) = 0
