         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5566448da000
     0.034 ( 0.004 ms): memoriaOverhea/7 access(filename: 0x787944e7                                           ) = -1 ENOENT No such file or directory
     0.040 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x78796c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.046 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x78794988, flags: CLOEXEC                             ) = 3
     0.051 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffe31474b10                                  ) = 0
     0.053 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f5278996000
     0.057 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.061 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x787944e7                                           ) = -1 ENOENT No such file or directory
     0.065 ( 0.005 ms): memoriaOverhea/7 open(filename: 0x7899cd68, flags: CLOEXEC                             ) = 3
     0.071 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffe31474cb8, count: 832                           ) = 832
     0.075 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffe31474b50                                  ) = 0
     0.077 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f5278994000
     0.083 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f52783d8000
     0.087 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f527856d000, len: 2097152                          ) = 0
     0.093 ( 0.004 ms): memoriaOverhea/7 mmap(addr: 0x7f527876d000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f527876d000
     0.101 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f5278773000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f5278773000
     0.108 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.118 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139992187360320                        ) = 0
     0.161 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f527876d000, len: 16384, prot: READ                ) = 0
     0.168 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x556642a00000, len: 4096, prot: READ                 ) = 0
     0.173 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f527899a000, len: 4096, prot: READ                 ) = 0
     0.177 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7f5278996000, len: 13580                               ) = 0
     0.207 ( 0.010 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffe31473f10, flags: CLOEXEC                          ) = 0
     0.218 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f527898b000
     0.222 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffe31473e90, oset: 0x7ffe31473f18, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.225 ([33m 0.163 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139992187355120, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5566427ffca8) ...
     0.388 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.391 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f5278993ea0, sigsetsize: 8        ) = 0
     0.393 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f5278993db0, sigsetsize: 8            ) = 0
     0.395 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f5278993d10, sigsetsize: 8             ) = 0
     0.397 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7f5278993db0, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7f5278993d10, sigsetsize: 8             ) = 0
     0.401 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7f5278993db0, sigsetsize: 8           ) = 0
     0.403 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7f5278993d10, sigsetsize: 8            ) = 0
     0.405 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7f5278993db0, sigsetsize: 8            ) = 0
