         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): memoriaOverhea/6 brk(                                                                  ) = 0x55cdcc910000
     0.031 ( 0.004 ms): memoriaOverhea/6 access(filename: 0x5d7ae4e7                                           ) = -1 ENOENT No such file or directory
     0.036 ( 0.003 ms): memoriaOverhea/6 access(filename: 0x5d7b0c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.041 ( 0.003 ms): memoriaOverhea/6 open(filename: 0x5d7ae988, flags: CLOEXEC                             ) = 3
     0.045 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7fffb23665a0                                  ) = 0
     0.048 ( 0.002 ms): memoriaOverhea/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fd55d9b0000
     0.051 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.054 ( 0.001 ms): memoriaOverhea/6 access(filename: 0x5d7ae4e7                                           ) = -1 ENOENT No such file or directory
     0.057 ( 0.004 ms): memoriaOverhea/6 open(filename: 0x5d9b6d68, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7fffb2366748, count: 832                           ) = 832
     0.064 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7fffb23665e0                                  ) = 0
     0.066 ( 0.002 ms): memoriaOverhea/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fd55d9ae000
     0.071 ( 0.002 ms): memoriaOverhea/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fd55d3f2000
     0.074 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7fd55d587000, len: 2097152                          ) = 0
     0.079 ( 0.003 ms): memoriaOverhea/6 mmap(addr: 0x7fd55d787000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fd55d787000
     0.085 ( 0.002 ms): memoriaOverhea/6 mmap(addr: 0x7fd55d78d000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fd55d78d000
     0.091 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): memoriaOverhea/6 arch_prctl(option: 4098, arg2: 140554375197760                        ) = 0
     0.136 ( 0.003 ms): memoriaOverhea/6 mprotect(start: 0x7fd55d787000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): memoriaOverhea/6 mprotect(start: 0x55cdcc622000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/6 mprotect(start: 0x7fd55d9b4000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.004 ms): memoriaOverhea/6 munmap(addr: 0x7fd55d9b0000, len: 13580                               ) = 0
     0.171 ( 0.003 ms): memoriaOverhea/6 pipe2(fildes: 0x7fffb23659a0, flags: CLOEXEC                          ) = 0
     0.176 ( 0.002 ms): memoriaOverhea/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fd55d9a5000
     0.178 ( 0.001 ms): memoriaOverhea/6 rt_sigprocmask(how: BLOCK, nset: 0x7fffb2365920, oset: 0x7fffb23659a8, sigsetsize: 8) = 0
     0.182 ([33m 0.794 ms[m): memoriaOverhea/6 clone(clone_flags: 16657, newsp: 140554375192560, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55cdcc421ca8) = 7 (memoriaOverhead)
     0.979 ( 0.001 ms): memoriaOverhea/6 close(fd: 4                                                           ) = 0
     0.983 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7fffb2365918, count: 4                             ) = 0
     0.985 ( 0.006 ms): memoriaOverhea/6 munmap(addr: 0x7fd55d9a5000, len: 36864                               ) = 0
     0.993 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.999 ( 0.001 ms): memoriaOverhea/6 rt_sigprocmask(how: SETMASK, nset: 0x7fffb23659a8, sigsetsize: 8      ) = 0
     1.009 (     ?   ): memoriaOverhea/6 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: clone()
     0.328 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.331 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, oset: 0x7fd55d9adea0, sigsetsize: 8        ) = 0
     0.333 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.336 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.338 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.340 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.342 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.345 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.347 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.349 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.351 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.353 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.355 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.357 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.359 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.361 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.362 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.364 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.366 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.368 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.370 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.372 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.374 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR2, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.376 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR2, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.378 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PIPE, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.380 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PIPE, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.382 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ALRM, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.384 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ALRM, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.386 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TERM, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.387 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TERM, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: STKFLT, oact: 0x7fd55d9addb0, sigsetsize: 8         ) = 0
     0.391 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: STKFLT, act: 0x7fd55d9add10, sigsetsize: 8          ) = 0
     0.393 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CHLD, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CHLD, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CONT, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.399 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CONT, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.401 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TSTP, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.403 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TSTP, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.405 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTIN, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.407 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTIN, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.409 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTOU, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.411 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTOU, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.412 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: URG, oact: 0x7fd55d9addb0, sigsetsize: 8            ) = 0
     0.414 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: URG, act: 0x7fd55d9add10, sigsetsize: 8             ) = 0
     0.416 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XCPU, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XCPU, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.420 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XFSZ, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.422 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XFSZ, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: VTALRM, oact: 0x7fd55d9addb0, sigsetsize: 8         ) = 0
     0.426 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: VTALRM, act: 0x7fd55d9add10, sigsetsize: 8          ) = 0
     0.428 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PROF, oact: 0x7fd55d9addb0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PROF, act: 0x7fd55d9add10, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: WINCH, oact: 0x7fd55d9addb0, sigsetsize: 8          ) = 0
     0.435 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: WINCH, act: 0x7fd55d9add10, sigsetsize: 8           ) = 0
     0.436 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: IO, oact: 0x7fd55d9addb0, sigsetsize: 8             ) = 0
