         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.028 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5647f29cb000
     0.043 ( 0.006 ms): memoriaOverhea/7 access(filename: 0x112d54e7                                           ) = -1 ENOENT No such file or directory
     0.051 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x112d7c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.056 ( 0.006 ms): memoriaOverhea/7 open(filename: 0x112d5988, flags: CLOEXEC                             ) = 3
     0.063 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3<pipe:[989015]>, statbuf: 0x7ffd43146740                   ) = 0
     0.066 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fee114d7000
     0.071 ( 0.001 ms): memoriaOverhea/7 close(fd: 3<pipe:[989015]>                                            ) = 0
     0.075 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x112d54e7                                           ) = -1 ENOENT No such file or directory
     0.079 ( 0.006 ms): memoriaOverhea/7 open(filename: 0x114ddd68, flags: CLOEXEC                             ) = 3
     0.086 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffd431468e8, count: 832                           ) = 832
     0.090 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd43146780                                  ) = 0
     0.093 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fee114d5000
     0.099 ( 0.004 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fee10f19000
     0.104 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7fee110ae000, len: 2097152                          ) = 0
     0.110 ( 0.005 ms): memoriaOverhea/7 mmap(addr: 0x7fee112ae000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fee112ae000
     0.119 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fee112b4000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fee112b4000
     0.127 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.141 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140660469228608                        ) = 0
     0.183 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fee112ae000, len: 16384, prot: READ                ) = 0
     0.190 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x5647f09de000, len: 4096, prot: READ                 ) = 0
     0.196 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7fee114db000, len: 4096, prot: READ                 ) = 0
     0.200 ( 0.005 ms): memoriaOverhea/7 munmap(addr: 0x7fee114d7000, len: 13580                               ) = 0
     0.234 ( 0.005 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffd43145b40, flags: CLOEXEC                          ) = 0
     0.240 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fee114cc000
     0.244 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffd43145ac0, oset: 0x7ffd43145b48, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.248 ([33m 0.195 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140660469223408, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5647f07ddca8) ...
     0.443 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.445 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7fee114d4ea0, sigsetsize: 8        ) = 0
     0.448 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7fee114d4db0, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7fee114d4d10, sigsetsize: 8             ) = 0
     0.453 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7fee114d4db0, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7fee114d4d10, sigsetsize: 8             ) = 0
     0.457 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7fee114d4db0, sigsetsize: 8           ) = 0
     0.459 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7fee114d4d10, sigsetsize: 8            ) = 0
     0.461 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7fee114d4db0, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7fee114d4d10, sigsetsize: 8             ) = 0
     0.465 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7fee114d4db0, sigsetsize: 8           ) = 0
     0.467 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7fee114d4d10, sigsetsize: 8            ) = 0
