         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5557d7a45000
     0.037 ( 0.005 ms): memoriaOverhea/7 access(filename: 0xaebab4e7                                           ) = -1 ENOENT No such file or directory
     0.044 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xaebadc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.051 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xaebab988, flags: CLOEXEC                             ) = 3
     0.058 ( 0.003 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd27e97200                                  ) = 0
     0.062 ( 0.004 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f05aedad000
     0.067 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.071 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xaebab4e7                                           ) = -1 ENOENT No such file or directory
     0.076 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xaedb3d68, flags: CLOEXEC                             ) = 3
     0.083 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffd27e973a8, count: 832                           ) = 832
     0.087 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd27e97240                                  ) = 0
     0.090 ( 0.003 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f05aedab000
     0.097 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f05ae7ef000
     0.101 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f05ae984000, len: 2097152                          ) = 0
     0.107 ( 0.005 ms): memoriaOverhea/7 mmap(addr: 0x7f05aeb84000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f05aeb84000
     0.116 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f05aeb8a000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f05aeb8a000
     0.124 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.136 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139662385136704                        ) = 0
     0.180 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f05aeb84000, len: 16384, prot: READ                ) = 0
     0.188 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x5557d6f20000, len: 4096, prot: READ                 ) = 0
     0.194 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f05aedb1000, len: 4096, prot: READ                 ) = 0
     0.198 ( 0.005 ms): memoriaOverhea/7 munmap(addr: 0x7f05aedad000, len: 13580                               ) = 0
     0.231 ( 0.007 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffd27e96600, flags: CLOEXEC                          ) = 0
