         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.026 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x563468cee000
     0.041 ( 0.005 ms): memoriaOverhea/7 access(filename: 0xbad24e7                                            ) = -1 ENOENT No such file or directory
     0.048 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xbad4c70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.053 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xbad2988, flags: CLOEXEC                              ) = 3
     0.060 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcbd5957c0                                  ) = 0
     0.062 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f9d0bcd4000
     0.067 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.071 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xbad24e7                                            ) = -1 ENOENT No such file or directory
     0.074 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xbcdad68, flags: CLOEXEC                              ) = 3
     0.081 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffcbd595968, count: 832                           ) = 832
     0.085 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcbd595800                                  ) = 0
     0.087 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f9d0bcd2000
     0.093 ( 0.004 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f9d0b716000
     0.098 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f9d0b8ab000, len: 2097152                          ) = 0
     0.105 ( 0.004 ms): memoriaOverhea/7 mmap(addr: 0x7f9d0baab000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f9d0baab000
     0.113 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f9d0bab1000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f9d0bab1000
     0.121 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.133 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140312484590656                        ) = 0
     0.176 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f9d0baab000, len: 16384, prot: READ                ) = 0
     0.183 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x563467d93000, len: 4096, prot: READ                 ) = 0
     0.188 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f9d0bcd8000, len: 4096, prot: READ                 ) = 0
     0.192 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7f9d0bcd4000, len: 13580                               ) = 0
     0.218 ([33m 0.011 ms[m): memoriaOverhea/7 pipe2(fildes: 0x7ffcbd594bc0, flags: CLOEXEC                          ) = 0
     0.230 ( 0.003 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f9d0bcc9000
     0.234 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffcbd594b40, oset: 0x7ffcbd594bc8, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.238 ([33m 0.201 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140312484585456, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x563467b92ca8) ...
     0.439 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.442 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f9d0bcd1ea0, sigsetsize: 8        ) = 0
