         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x55ba096cd000
     0.029 ( 0.003 ms): memoriaOverhea/7 access(filename: 0x888434e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x88845c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.003 ms): memoriaOverhea/7 open(filename: 0x88843988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.003 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcfd42f720                                  ) = 0
     0.045 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f8f88a45000
     0.049 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): memoriaOverhea/7 access(filename: 0x888434e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x88a4bd68, flags: CLOEXEC                             ) = 3
     0.059 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffcfd42f8c8, count: 832                           ) = 832
     0.062 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcfd42f760                                  ) = 0
     0.064 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f8f88a43000
     0.069 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f8f88487000
     0.072 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f8f8861c000, len: 2097152                          ) = 0
     0.076 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f8f8881c000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f8f8881c000
     0.083 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f8f88822000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f8f88822000
     0.089 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.097 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140254449517632                        ) = 0
     0.135 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f8f8881c000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x55ba092ac000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f8f88a49000, len: 4096, prot: READ                 ) = 0
     0.146 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f8f88a45000, len: 13580                               ) = 0
     0.166 ( 0.005 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffcfd42eb20, flags: CLOEXEC                          ) = 0
     0.173 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f8f88a3a000
     0.175 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffcfd42eaa0, oset: 0x7ffcfd42eb28, sigsetsize: 8) = 0
     0.178 ([33m 0.561 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140254449512432, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55ba090abca8) = 8 (memoriaOverhead)
     0.742 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     0.745 ( 0.001 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffcfd42ea98, count: 4                             ) = 0
     0.748 ( 0.007 ms): memoriaOverhea/7 munmap(addr: 0x7f8f88a3a000, len: 36864                               ) = 0
