         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/6 brk(                                                                  ) = 0x560c3ae43000
     0.030 ( 0.004 ms): memoriaOverhea/6 access(filename: 0xbe5ec4e7                                           ) = -1 ENOENT No such file or directory
     0.036 ( 0.002 ms): memoriaOverhea/6 access(filename: 0xbe5eec70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.041 ( 0.003 ms): memoriaOverhea/6 open(filename: 0xbe5ec988, flags: CLOEXEC                             ) = 3
     0.046 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3<pipe:[965310]>, statbuf: 0x7ffd66181970                   ) = 0
     0.048 ( 0.002 ms): memoriaOverhea/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f9abe7ee000
     0.051 ( 0.001 ms): memoriaOverhea/6 close(fd: 3<pipe:[965310]>                                            ) = 0
     0.054 ( 0.001 ms): memoriaOverhea/6 access(filename: 0xbe5ec4e7                                           ) = -1 ENOENT No such file or directory
     0.057 ( 0.004 ms): memoriaOverhea/6 open(filename: 0xbe7f4d68, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7ffd66181b18, count: 832                           ) = 832
     0.065 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7ffd661819b0                                  ) = 0
     0.067 ( 0.002 ms): memoriaOverhea/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f9abe7ec000
     0.072 ( 0.002 ms): memoriaOverhea/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f9abe230000
     0.075 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7f9abe3c5000, len: 2097152                          ) = 0
     0.079 ( 0.003 ms): memoriaOverhea/6 mmap(addr: 0x7f9abe5c5000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f9abe5c5000
     0.086 ( 0.002 ms): memoriaOverhea/6 mmap(addr: 0x7f9abe5cb000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f9abe5cb000
     0.092 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.101 ( 0.001 ms): memoriaOverhea/6 arch_prctl(option: 4098, arg2: 140302597674048                        ) = 0
     0.133 ( 0.003 ms): memoriaOverhea/6 mprotect(start: 0x7f9abe5c5000, len: 16384, prot: READ                ) = 0
     0.138 ( 0.002 ms): memoriaOverhea/6 mprotect(start: 0x560c398b6000, len: 4096, prot: READ                 ) = 0
     0.142 ( 0.002 ms): memoriaOverhea/6 mprotect(start: 0x7f9abe7f2000, len: 4096, prot: READ                 ) = 0
     0.145 ( 0.003 ms): memoriaOverhea/6 munmap(addr: 0x7f9abe7ee000, len: 13580                               ) = 0
     0.172 ( 0.008 ms): memoriaOverhea/6 pipe2(fildes: 0x7ffd66180d70, flags: CLOEXEC                          ) = 0
     0.181 ( 0.002 ms): memoriaOverhea/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f9abe7e3000
     0.184 ( 0.001 ms): memoriaOverhea/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffd66180cf0, oset: 0x7ffd66180d78, sigsetsize: 8) = 0
     0.187 ([31m 1.095 ms[m): memoriaOverhea/6 clone(clone_flags: 16657, newsp: 140302597668848, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x560c396b5ca8) = 7 (memoriaOverhead)
     1.287 ( 0.002 ms): memoriaOverhea/6 close(fd: 4                                                           ) = 0
     1.292 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7ffd66180ce8, count: 4                             ) = 0
     1.295 ( 0.009 ms): memoriaOverhea/6 munmap(addr: 0x7f9abe7e3000, len: 36864                               ) = 0
     1.305 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     1.311 ( 0.001 ms): memoriaOverhea/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffd66180d78, sigsetsize: 8      ) = 0
     1.319 (     ?   ): memoriaOverhea/6 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: clone()
     0.329 ( 0.002 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.332 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, oset: 0x7f9abe7ebea0, sigsetsize: 8        ) = 0
     0.334 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, oact: 0x7f9abe7ebdb0, sigsetsize: 8            ) = 0
     0.337 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, act: 0x7f9abe7ebd10, sigsetsize: 8             ) = 0
     0.339 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, oact: 0x7f9abe7ebdb0, sigsetsize: 8            ) = 0
     0.341 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, act: 0x7f9abe7ebd10, sigsetsize: 8             ) = 0
     0.343 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
     0.345 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, act: 0x7f9abe7ebd10, sigsetsize: 8            ) = 0
     0.347 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, oact: 0x7f9abe7ebdb0, sigsetsize: 8            ) = 0
     0.349 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, act: 0x7f9abe7ebd10, sigsetsize: 8             ) = 0
     0.351 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
     0.353 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, act: 0x7f9abe7ebd10, sigsetsize: 8            ) = 0
     0.355 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
     0.357 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, act: 0x7f9abe7ebd10, sigsetsize: 8            ) = 0
     0.359 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, oact: 0x7f9abe7ebdb0, sigsetsize: 8            ) = 0
     0.361 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, act: 0x7f9abe7ebd10, sigsetsize: 8             ) = 0
     0.363 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, oact: 0x7f9abe7ebdb0, sigsetsize: 8            ) = 0
     0.365 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, act: 0x7f9abe7ebd10, sigsetsize: 8             ) = 0
     0.367 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
     0.368 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, act: 0x7f9abe7ebd10, sigsetsize: 8            ) = 0
     0.370 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
     0.372 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, act: 0x7f9abe7ebd10, sigsetsize: 8            ) = 0
     0.374 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR2, oact: 0x7f9abe7ebdb0, sigsetsize: 8           ) = 0
