         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5614bce5a000
     0.030 ( 0.003 ms): memoriaOverhea/7 access(filename: 0x257d34e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x257d5c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.039 ( 0.003 ms): memoriaOverhea/7 open(filename: 0x257d3988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff4a725880                                  ) = 0
     0.046 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f4f259d5000
     0.050 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): memoriaOverhea/7 access(filename: 0x257d34e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x259dbd68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fff4a725a28, count: 832                           ) = 832
     0.064 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff4a7258c0                                  ) = 0
     0.066 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f4f259d3000
     0.070 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f4f25417000
     0.073 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f4f255ac000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f4f257ac000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f4f257ac000
     0.084 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f4f257b2000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f4f257b2000
     0.091 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139977910207552                        ) = 0
     0.135 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f4f257ac000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x5614bb943000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f4f259d9000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f4f259d5000, len: 13580                               ) = 0
     0.167 ( 0.005 ms): memoriaOverhea/7 pipe2(fildes: 0x7fff4a724c80, flags: CLOEXEC                          ) = 0
     0.173 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f4f259ca000
     0.176 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fff4a724c00, oset: 0x7fff4a724c88, sigsetsize: 8) = 0
     0.179 ([33m 0.496 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139977910202352, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5614bb742ca8) = 8 (memoriaOverhead)
     0.677 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     0.680 ( 0.001 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fff4a724bf8, count: 4                             ) = 0
     0.683 ( 0.006 ms): memoriaOverhea/7 munmap(addr: 0x7f4f259ca000, len: 36864                               ) = 0
     0.691 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.695 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7fff4a724c88, sigsetsize: 8      ) = 0
     0.704 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.320 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.322 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f4f259d2ea0, sigsetsize: 8        ) = 0
     0.325 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f4f259d2db0, sigsetsize: 8            ) = 0
     0.327 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f4f259d2d10, sigsetsize: 8             ) = 0
     0.329 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7f4f259d2db0, sigsetsize: 8            ) = 0
     0.332 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7f4f259d2d10, sigsetsize: 8             ) = 0
     0.334 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7f4f259d2db0, sigsetsize: 8           ) = 0
     0.336 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7f4f259d2d10, sigsetsize: 8            ) = 0
     0.338 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7f4f259d2db0, sigsetsize: 8            ) = 0
     0.340 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7f4f259d2d10, sigsetsize: 8             ) = 0
     0.342 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7f4f259d2db0, sigsetsize: 8           ) = 0
     0.345 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7f4f259d2d10, sigsetsize: 8            ) = 0
