         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x558b96f46000
     0.031 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xa6ad24e7                                           ) = -1 ENOENT No such file or directory
     0.036 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xa6ad4c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): memoriaOverhea/7 open(filename: 0xa6ad2988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffeae967f0                                  ) = 0
     0.046 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f79a6cd4000
     0.050 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xa6ad24e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xa6cdad68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fffeae96998, count: 832                           ) = 832
     0.064 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffeae96830                                  ) = 0
     0.066 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f79a6cd2000
     0.070 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f79a6716000
     0.073 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f79a68ab000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f79a6aab000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f79a6aab000
     0.084 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f79a6ab1000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f79a6ab1000
     0.090 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140160466236480                        ) = 0
     0.135 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f79a6aab000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x558b9561d000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f79a6cd8000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f79a6cd4000, len: 13580                               ) = 0
     0.167 ( 0.004 ms): memoriaOverhea/7 pipe2(fildes: 0x7fffeae95bf0, flags: CLOEXEC                          ) = 0
     0.171 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f79a6cc9000
     0.174 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fffeae95b70, oset: 0x7fffeae95bf8, sigsetsize: 8) = 0
     0.177 ([33m 0.491 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140160466231280, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x558b9541cca8) = 8 (memoriaOverhead)
     0.676 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     0.679 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fffeae95b68, count: 4                             ) = 0
     0.682 ( 0.007 ms): memoriaOverhea/7 munmap(addr: 0x7f79a6cc9000, len: 36864                               ) = 0
     0.690 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.695 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7fffeae95bf8, sigsetsize: 8      ) = 0
     0.705 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.320 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.323 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f79a6cd1ea0, sigsetsize: 8        ) = 0
     0.325 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f79a6cd1db0, sigsetsize: 8            ) = 0
     0.328 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f79a6cd1d10, sigsetsize: 8             ) = 0
     0.330 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7f79a6cd1db0, sigsetsize: 8            ) = 0
     0.332 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7f79a6cd1d10, sigsetsize: 8             ) = 0
