         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x56055de1b000
     0.028 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xad3ae4e7                                           ) = -1 ENOENT No such file or directory
     0.033 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xad3b0c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xad3ae988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcdb7104a0                                  ) = 0
     0.045 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fb0ad5b0000
     0.049 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xad3ae4e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xad5b6d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.001 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffcdb710648, count: 832                           ) = 832
     0.063 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffcdb7104e0                                  ) = 0
     0.065 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fb0ad5ae000
     0.069 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fb0acff2000
     0.072 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fb0ad187000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fb0ad387000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fb0ad387000
     0.083 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7fb0ad38d000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fb0ad38d000
     0.089 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.097 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140396799390784                        ) = 0
     0.136 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7fb0ad387000, len: 16384, prot: READ                ) = 0
     0.141 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x56055c1f8000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7fb0ad5b4000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7fb0ad5b0000, len: 13580                               ) = 0
     0.171 ( 0.003 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffcdb70f8a0, flags: CLOEXEC                          ) = 0
     0.175 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fb0ad5a5000
     0.178 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffcdb70f820, oset: 0x7ffcdb70f8a8, sigsetsize: 8) = 0
     0.180 ([33m 0.496 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140396799385584, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x56055bff7ca8) = 8 (memoriaOverhead)
     0.679 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     0.683 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffcdb70f818, count: 4                             ) = 0
     0.686 ( 0.006 ms): memoriaOverhea/7 munmap(addr: 0x7fb0ad5a5000, len: 36864                               ) = 0
     0.693 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.712 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffcdb70f8a8, sigsetsize: 8      ) = 0
     0.728 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.324 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.326 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7fb0ad5adea0, sigsetsize: 8        ) = 0
