         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5651adf87000
     0.030 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xaae6e4e7                                           ) = -1 ENOENT No such file or directory
     0.036 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xaae70c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): memoriaOverhea/7 open(filename: 0xaae6e988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffc3173f890                                  ) = 0
     0.047 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f30ab070000
     0.050 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.054 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xaae6e4e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xab076d68, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffc3173fa38, count: 832                           ) = 832
     0.064 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffc3173f8d0                                  ) = 0
     0.066 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f30ab06e000
     0.071 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f30aaab2000
     0.074 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f30aac47000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f30aae47000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f30aae47000
     0.084 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f30aae4d000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f30aae4d000
     0.091 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139847004517440                        ) = 0
     0.136 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f30aae47000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x5651ad96a000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f30ab074000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f30ab070000, len: 13580                               ) = 0
     0.271 ( 0.006 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffc314a6eb0, flags: CLOEXEC                          ) = 0
     0.277 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f30ab065000
     0.280 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffc314a6e30, oset: 0x7ffc314a6eb8, sigsetsize: 8) = 0
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.283 ([33m 0.574 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139847004512240, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5651ad769ca8) ...
