         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x55b3e854d000
     0.029 ( 0.004 ms): memoriaOverhea/7 access(filename: 0x73d8a4e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x73d8cc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): memoriaOverhea/7 open(filename: 0x73d8a988, flags: CLOEXEC                             ) = 3
     0.045 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff1e8c9b10                                  ) = 0
     0.047 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fe773f8c000
     0.050 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): memoriaOverhea/7 access(filename: 0x73d8a4e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x73f92d68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fff1e8c9cb8, count: 832                           ) = 832
     0.064 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff1e8c9b50                                  ) = 0
     0.066 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fe773f8a000
     0.070 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fe7739ce000
     0.074 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fe773b63000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fe773d63000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fe773d63000
     0.085 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7fe773d69000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fe773d69000
     0.091 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140632059851840                        ) = 0
     0.139 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7fe773d63000, len: 16384, prot: READ                ) = 0
     0.143 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x55b3e79b0000, len: 4096, prot: READ                 ) = 0
     0.148 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7fe773f90000, len: 4096, prot: READ                 ) = 0
     0.150 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7fe773f8c000, len: 13580                               ) = 0
     0.271 ( 0.008 ms): memoriaOverhea/7 pipe2(fildes: 0x7fff1e631130, flags: CLOEXEC                          ) = 0
     0.281 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fe773f81000
     0.283 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fff1e6310b0, oset: 0x7fff1e631138, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.286 ([33m 0.171 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140632059846640, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55b3e77afca8) ...
     0.457 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.459 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7fe773f89ea0, sigsetsize: 8        ) = 0
     0.461 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7fe773f89db0, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7fe773f89d10, sigsetsize: 8             ) = 0
     0.465 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7fe773f89db0, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7fe773f89d10, sigsetsize: 8             ) = 0
     0.469 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.471 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
     0.473 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7fe773f89db0, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7fe773f89d10, sigsetsize: 8             ) = 0
     0.477 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.483 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
     0.485 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, oact: 0x7fe773f89db0, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, act: 0x7fe773f89d10, sigsetsize: 8             ) = 0
     0.490 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, oact: 0x7fe773f89db0, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, act: 0x7fe773f89d10, sigsetsize: 8             ) = 0
     0.494 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
     0.498 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, oact: 0x7fe773f89db0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, act: 0x7fe773f89d10, sigsetsize: 8            ) = 0
