         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x55b5eb41c000
     0.033 ( 0.004 ms): memoriaOverhea/7 access(filename: 0xb9ab14e7                                           ) = -1 ENOENT No such file or directory
     0.039 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xb9ab3c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.045 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xb9ab1988, flags: CLOEXEC                             ) = 3
     0.049 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd65952cf0                                  ) = 0
     0.052 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fddb9cb3000
     0.056 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.060 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xb9ab14e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): memoriaOverhea/7 open(filename: 0xb9cb9d68, flags: CLOEXEC                             ) = 3
     0.069 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffd65952e98, count: 832                           ) = 832
     0.073 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd65952d30                                  ) = 0
     0.076 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fddb9cb1000
     0.081 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fddb96f5000
     0.085 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fddb988a000, len: 2097152                          ) = 0
     0.091 ( 0.004 ms): memoriaOverhea/7 mmap(addr: 0x7fddb9a8a000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fddb9a8a000
     0.098 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fddb9a90000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fddb9a90000
     0.106 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.116 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140590281598016                        ) = 0
     0.157 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fddb9a8a000, len: 16384, prot: READ                ) = 0
     0.164 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x55b5ead62000, len: 4096, prot: READ                 ) = 0
     0.169 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7fddb9cb7000, len: 4096, prot: READ                 ) = 0
     0.173 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7fddb9cb3000, len: 13580                               ) = 0
     0.327 ( 0.004 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffd656ba310, flags: CLOEXEC                          ) = 0
     0.333 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fddb9ca8000
     0.336 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffd656ba290, oset: 0x7ffd656ba318, sigsetsize: 8) = 0
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
