         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x559d7bc4d000
     0.037 ( 0.005 ms): memoriaOverhea/7 access(filename: 0xb3e964e7                                           ) = -1 ENOENT No such file or directory
     0.046 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xb3e98c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.051 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xb3e96988, flags: CLOEXEC                             ) = 3
     0.057 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3<pipe:[1022130]>, statbuf: 0x7ffd32d38820                  ) = 0
     0.060 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fc7b4098000
     0.065 ( 0.001 ms): memoriaOverhea/7 close(fd: 3<pipe:[1022130]>                                           ) = 0
     0.069 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xb3e964e7                                           ) = -1 ENOENT No such file or directory
     0.073 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xb409ed68, flags: CLOEXEC                             ) = 3
     0.080 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffd32d389c8, count: 832                           ) = 832
     0.084 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffd32d38860                                  ) = 0
     0.087 ( 0.003 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fc7b4096000
     0.093 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fc7b3ada000
     0.098 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7fc7b3c6f000, len: 2097152                          ) = 0
     0.104 ( 0.005 ms): memoriaOverhea/7 mmap(addr: 0x7fc7b3e6f000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fc7b3e6f000
     0.112 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fc7b3e75000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc7b3e75000
     0.120 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.132 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140495695737920                        ) = 0
     0.177 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fc7b3e6f000, len: 16384, prot: READ                ) = 0
     0.183 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x559d7a175000, len: 4096, prot: READ                 ) = 0
     0.189 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7fc7b409c000, len: 4096, prot: READ                 ) = 0
     0.192 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7fc7b4098000, len: 13580                               ) = 0
     0.352 ( 0.008 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffd32a9fe40, flags: CLOEXEC                          ) = 0
     0.361 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fc7b408d000
     0.365 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffd32a9fdc0, oset: 0x7ffd32a9fe48, sigsetsize: 8) = 0
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.369 ([33m 0.634 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140495695732720, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x559d79f74ca8) ...
     1.003 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55618c1e5000
     1.018 ( 0.004 ms): sleep/8 access(filename: 0xdcab74e7                                           ) = -1 ENOENT No such file or directory
     1.027 ( 0.002 ms): sleep/8 access(filename: 0xdcab9c70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.032 ( 0.004 ms): sleep/8 open(filename: 0xdcab7988, flags: CLOEXEC                             ) = 3
     1.038 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc3fceb8b0                                  ) = 0
     1.042 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f2edccb9000
     1.046 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.051 ( 0.002 ms): sleep/8 access(filename: 0xdcab74e7                                           ) = -1 ENOENT No such file or directory
     1.055 ( 0.005 ms): sleep/8 open(filename: 0xdccbfd68, flags: CLOEXEC                             ) = 3
     1.061 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffc3fceba58, count: 832                           ) = 832
     1.065 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc3fceb8f0                                  ) = 0
     1.068 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f2edccb7000
     1.074 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2edc6fb000
     1.079 ( 0.005 ms): sleep/8 mprotect(start: 0x7f2edc890000, len: 2097152                          ) = 0
     1.085 ( 0.005 ms): sleep/8 mmap(addr: 0x7f2edca90000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f2edca90000
     1.095 ( 0.003 ms): sleep/8 mmap(addr: 0x7f2edca96000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f2edca96000
     1.103 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.117 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 139839249548416                        ) = 0
     1.163 ( 0.004 ms): sleep/8 mprotect(start: 0x7f2edca90000, len: 16384, prot: READ                ) = 0
     1.172 ( 0.003 ms): sleep/8 mprotect(start: 0x55618a794000, len: 4096, prot: READ                 ) = 0
     1.178 ( 0.003 ms): sleep/8 mprotect(start: 0x7f2edccbd000, len: 4096, prot: READ                 ) = 0
     1.182 ( 0.004 ms): sleep/8 munmap(addr: 0x7f2edccb9000, len: 13580                               ) = 0
     1.236 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55618c1e5000
     1.239 ( 0.002 ms): sleep/8 brk(brk: 0x55618c206000                                               ) = 0x55618c206000
     0.369 ([33m 0.896 ms[m): memoriaOverhea/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     1.258 ( 0.010 ms): sleep/8 nanosleep(rqtp: 0x7ffc3fcec200                                        ) ...
