         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/6 brk(                                                                  ) = 0x5628d470f000
     0.028 ( 0.003 ms): memoriaOverhea/6 access(filename: 0xb53994e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): memoriaOverhea/6 access(filename: 0xb539bc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.004 ms): memoriaOverhea/6 open(filename: 0xb5399988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7ffceb1771d0                                  ) = 0
     0.046 ( 0.003 ms): memoriaOverhea/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f21b559b000
     0.049 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): memoriaOverhea/6 access(filename: 0xb53994e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): memoriaOverhea/6 open(filename: 0xb55a1d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7ffceb177378, count: 832                           ) = 832
     0.063 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7ffceb177210                                  ) = 0
     0.065 ( 0.002 ms): memoriaOverhea/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f21b5599000
     0.071 ( 0.002 ms): memoriaOverhea/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f21b4fdd000
     0.074 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7f21b5172000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): memoriaOverhea/6 mmap(addr: 0x7f21b5372000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f21b5372000
     0.085 ( 0.002 ms): memoriaOverhea/6 mmap(addr: 0x7f21b5378000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f21b5378000
     0.091 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): memoriaOverhea/6 arch_prctl(option: 4098, arg2: 139782753199168                        ) = 0
     0.137 ( 0.003 ms): memoriaOverhea/6 mprotect(start: 0x7f21b5372000, len: 16384, prot: READ                ) = 0
     0.141 ( 0.002 ms): memoriaOverhea/6 mprotect(start: 0x5628d3a77000, len: 4096, prot: READ                 ) = 0
