         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x55bfd2114000
     0.027 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xc14374e7                                           ) = -1 ENOENT No such file or directory
     0.033 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xc1439c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.037 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xc1437988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffe6c8e7460                                  ) = 0
     0.045 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f01c1639000
     0.048 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.051 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xc14374e7                                           ) = -1 ENOENT No such file or directory
     0.054 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xc163fd68, flags: CLOEXEC                             ) = 3
     0.059 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffe6c8e7608, count: 832                           ) = 832
     0.062 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffe6c8e74a0                                  ) = 0
     0.064 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f01c1637000
     0.068 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f01c107b000
     0.072 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f01c1210000, len: 2097152                          ) = 0
     0.076 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f01c1410000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f01c1410000
     0.082 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f01c1416000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f01c1416000
     0.088 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.096 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139645516219456                        ) = 0
     0.132 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f01c1410000, len: 16384, prot: READ                ) = 0
     0.137 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x55bfd0dbb000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f01c163d000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f01c1639000, len: 13580                               ) = 0
     0.270 ( 0.004 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffe6c64ea80, flags: CLOEXEC                          ) = 0
