         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5583a943b000
     0.035 ( 0.005 ms): memoriaOverhea/7 access(filename: 0x76b2f4e7                                           ) = -1 ENOENT No such file or directory
     0.042 ( 0.003 ms): memoriaOverhea/7 access(filename: 0x76b31c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.048 ( 0.004 ms): memoriaOverhea/7 open(filename: 0x76b2f988, flags: CLOEXEC                             ) = 3
     0.053 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3<pipe:[1034780]>, statbuf: 0x7ffeb5ef01f0                  ) = 0
     0.056 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f1376d31000
     0.060 ( 0.001 ms): memoriaOverhea/7 close(fd: 3<pipe:[1034780]>                                           ) = 0
     0.064 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x76b2f4e7                                           ) = -1 ENOENT No such file or directory
     0.067 ( 0.005 ms): memoriaOverhea/7 open(filename: 0x76d37d68, flags: CLOEXEC                             ) = 3
     0.074 ( 0.002 ms): memoriaOverhea/7 read(fd: 3<pipe:[1034780]>, buf: 0x7ffeb5ef0398, count: 832           ) = 832
     0.077 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3<pipe:[1034780]>, statbuf: 0x7ffeb5ef0230                  ) = 0
     0.080 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f1376d2f000
     0.086 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f1376773000
     0.091 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7f1376908000, len: 2097152                          ) = 0
     0.097 ( 0.004 ms): memoriaOverhea/7 mmap(addr: 0x7f1376b08000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f1376b08000
     0.104 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f1376b0e000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f1376b0e000
     0.112 ( 0.001 ms): memoriaOverhea/7 close(fd: 3<pipe:[1034780]>                                           ) = 0
     0.123 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139721574646848                        ) = 0
     0.164 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f1376b08000, len: 16384, prot: READ                ) = 0
     0.170 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x5583a88ec000, len: 4096, prot: READ                 ) = 0
     0.175 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f1376d35000, len: 4096, prot: READ                 ) = 0
     0.179 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7f1376d31000, len: 13580                               ) = 0
     0.602 ([33m 0.071 ms[m): memoriaOverhea/7 pipe2(fildes: 0x7ffeb5c57810, flags: CLOEXEC                          ) = 0
     0.682 ([33m 0.023 ms[m): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f1376d26000
     0.709 ( 0.005 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffeb5c57790, oset: 0x7ffeb5c57818, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.732 ([31m 5.093 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139721574641648, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5583a86ebca8) ...
     5.825 ( 0.002 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     5.828 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f1376d2eea0, sigsetsize: 8        ) = 0
     5.831 ( 0.002 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f1376d2edb0, sigsetsize: 8            ) = 0
     6.097 ( 0.004 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f1376d2ed10, sigsetsize: 8             ) = 0
