         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): memoriaOverhea/6 brk(                                                                  ) = 0x56020e1c9000
     0.031 ( 0.005 ms): memoriaOverhea/6 access(filename: 0x1989a4e7                                           ) = -1 ENOENT No such file or directory
     0.039 ( 0.002 ms): memoriaOverhea/6 access(filename: 0x1989cc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.044 ( 0.004 ms): memoriaOverhea/6 open(filename: 0x1989a988, flags: CLOEXEC                             ) = 3
     0.050 ( 0.003 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7fffc79c39a0                                  ) = 0
     0.054 ( 0.003 ms): memoriaOverhea/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f2f19a9c000
     0.058 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.062 ( 0.002 ms): memoriaOverhea/6 access(filename: 0x1989a4e7                                           ) = -1 ENOENT No such file or directory
     0.065 ( 0.005 ms): memoriaOverhea/6 open(filename: 0x19aa2d68, flags: CLOEXEC                             ) = 3
     0.072 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7fffc79c3b48, count: 832                           ) = 832
     0.075 ( 0.001 ms): memoriaOverhea/6 fstat(fd: 3, statbuf: 0x7fffc79c39e0                                  ) = 0
     0.078 ( 0.002 ms): memoriaOverhea/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f2f19a9a000
     0.084 ( 0.003 ms): memoriaOverhea/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2f194de000
     0.087 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7f2f19673000, len: 2097152                          ) = 0
     0.093 ( 0.004 ms): memoriaOverhea/6 mmap(addr: 0x7f2f19873000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f2f19873000
     0.100 ( 0.003 ms): memoriaOverhea/6 mmap(addr: 0x7f2f19879000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f2f19879000
     0.108 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     0.119 ( 0.002 ms): memoriaOverhea/6 arch_prctl(option: 4098, arg2: 139840270742592                        ) = 0
     0.168 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7f2f19873000, len: 16384, prot: READ                ) = 0
