         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x56342240a000
     0.036 ( 0.005 ms): memoriaOverhea/7 access(filename: 0xe3ed54e7                                           ) = -1 ENOENT No such file or directory
     0.043 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xe3ed7c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.047 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xe3ed5988, flags: CLOEXEC                             ) = 3
     0.052 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff963060b0                                  ) = 0
     0.055 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f22e40d7000
     0.059 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.063 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xe3ed54e7                                           ) = -1 ENOENT No such file or directory
     0.067 ( 0.006 ms): memoriaOverhea/7 open(filename: 0xe40ddd68, flags: CLOEXEC                             ) = 3
     0.074 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fff96306258, count: 832                           ) = 832
     0.077 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fff963060f0                                  ) = 0
     0.081 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f22e40d5000
     0.087 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f22e3b19000
     0.091 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f22e3cae000, len: 2097152                          ) = 0
     0.097 ( 0.004 ms): memoriaOverhea/7 mmap(addr: 0x7f22e3eae000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f22e3eae000
     0.105 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f22e3eb4000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f22e3eb4000
     0.112 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.125 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139787831698496                        ) = 0
     0.165 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7f22e3eae000, len: 16384, prot: READ                ) = 0
     0.172 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x563421e8c000, len: 4096, prot: READ                 ) = 0
     0.177 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f22e40db000, len: 4096, prot: READ                 ) = 0
     0.181 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7f22e40d7000, len: 13580                               ) = 0
     0.343 ([33m 0.010 ms[m): memoriaOverhea/7 pipe2(fildes: 0x7fff9606d6d0, flags: CLOEXEC                          ) = 0
     0.354 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f22e40cc000
     0.358 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fff9606d650, oset: 0x7fff9606d6d8, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: nanosleep()) = 0
     0.362 ([31m 1.321 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139787831693296, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x563421c8bca8) ...
     1.683 ( 0.002 ms): memoriaOverhea/8 close(fd: 1                                                           ) = 0
     1.687 ( 0.001 ms): memoriaOverhea/8 close(fd: 2                                                           ) = 0
     1.693 (     ?   ): memoriaOverhea/8 exit_group(                                                           )
     1.693 ([31m18446744073708.387 ms[m): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.531 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.533 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f22e40d4ea0, sigsetsize: 8        ) = 0
     0.536 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.539 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.541 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.543 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.545 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.554 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
