         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5635892ba000
     0.029 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xed61e4e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xed620c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.039 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xed61e988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffc67cdf1a0                                  ) = 0
     0.046 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f7ced820000
     0.049 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xed61e4e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xed826d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffc67cdf348, count: 832                           ) = 832
     0.063 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffc67cdf1e0                                  ) = 0
     0.065 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f7ced81e000
     0.070 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f7ced262000
     0.073 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f7ced3f7000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f7ced5f7000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f7ced5f7000
     0.083 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f7ced5fd000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f7ced5fd000
     0.090 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140174537389120                        ) = 0
     0.132 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f7ced5f7000, len: 16384, prot: READ                ) = 0
     0.137 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x563589289000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f7ced824000, len: 4096, prot: READ                 ) = 0
     0.143 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f7ced820000, len: 13580                               ) = 0
     0.267 ( 0.005 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffc67a467c0, flags: CLOEXEC                          ) = 0
     0.273 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f7ced815000
     0.276 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffc67a46740, oset: 0x7ffc67a467c8, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.279 ([33m 0.158 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140174537383920, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x563589088ca8) ...
     0.437 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.440 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7f7ced81dea0, sigsetsize: 8        ) = 0
     0.442 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7f7ced81ddb0, sigsetsize: 8            ) = 0
     0.444 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7f7ced81dd10, sigsetsize: 8             ) = 0
     0.446 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7f7ced81ddb0, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7f7ced81dd10, sigsetsize: 8             ) = 0
     0.449 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7f7ced81ddb0, sigsetsize: 8           ) = 0
     0.451 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7f7ced81dd10, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7f7ced81ddb0, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7f7ced81dd10, sigsetsize: 8             ) = 0
     0.457 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7f7ced81ddb0, sigsetsize: 8           ) = 0
     0.459 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7f7ced81dd10, sigsetsize: 8            ) = 0
     0.461 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, oact: 0x7f7ced81ddb0, sigsetsize: 8           ) = 0
     0.463 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, act: 0x7f7ced81dd10, sigsetsize: 8            ) = 0
