         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.002 ms): memoriaOverhea/7 brk(                                                                  ) = 0x5615e692e000
     0.037 ( 0.005 ms): memoriaOverhea/7 access(filename: 0x97e264e7                                           ) = -1 ENOENT No such file or directory
     0.046 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x97e28c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.051 ( 0.005 ms): memoriaOverhea/7 open(filename: 0x97e26988, flags: CLOEXEC                             ) = 3
     0.057 ( 0.003 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffab2488a0                                  ) = 0
     0.061 ( 0.003 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fb198028000
     0.065 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.069 ( 0.002 ms): memoriaOverhea/7 access(filename: 0x97e264e7                                           ) = -1 ENOENT No such file or directory
     0.074 ( 0.006 ms): memoriaOverhea/7 open(filename: 0x9802ed68, flags: CLOEXEC                             ) = 3
     0.081 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fffab248a48, count: 832                           ) = 832
     0.085 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7fffab2488e0                                  ) = 0
     0.088 ( 0.003 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fb198026000
     0.094 ( 0.003 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fb197a6a000
     0.099 ( 0.004 ms): memoriaOverhea/7 mprotect(start: 0x7fb197bff000, len: 2097152                          ) = 0
     0.103 ( 0.005 ms): memoriaOverhea/7 mmap(addr: 0x7fb197dff000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fb197dff000
     0.112 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7fb197e05000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fb197e05000
     0.121 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.133 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 140400736236608                        ) = 0
     0.177 ( 0.005 ms): memoriaOverhea/7 mprotect(start: 0x7fb197dff000, len: 16384, prot: READ                ) = 0
     0.184 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x5615e5e78000, len: 4096, prot: READ                 ) = 0
     0.189 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7fb19802c000, len: 4096, prot: READ                 ) = 0
     0.193 ( 0.004 ms): memoriaOverhea/7 munmap(addr: 0x7fb198028000, len: 13580                               ) = 0
     0.349 ( 0.004 ms): memoriaOverhea/7 pipe2(fildes: 0x7fffaafafec0, flags: CLOEXEC                          ) = 0
     0.355 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fb19801d000
     0.358 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7fffaafafe40, oset: 0x7fffaafafec8, sigsetsize: 8) = 0
     0.363 ([31m 1.336 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140400736231408, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5615e5c77ca8) = 8 (memoriaOverhead)
     1.702 ( 0.002 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     1.707 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fffaafafe38, count: 4                             ) = 0
     1.710 ( 0.008 ms): memoriaOverhea/7 munmap(addr: 0x7fb19801d000, len: 36864                               ) = 0
     1.719 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     1.724 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7fffaafafec8, sigsetsize: 8      ) = 0
     1.734 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.614 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.616 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7fb198025ea0, sigsetsize: 8        ) = 0
     0.618 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7fb198025db0, sigsetsize: 8            ) = 0
     0.621 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7fb198025d10, sigsetsize: 8             ) = 0
     0.623 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7fb198025db0, sigsetsize: 8            ) = 0
     0.625 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7fb198025d10, sigsetsize: 8             ) = 0
     0.627 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7fb198025db0, sigsetsize: 8           ) = 0
     0.629 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7fb198025d10, sigsetsize: 8            ) = 0
     0.631 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7fb198025db0, sigsetsize: 8            ) = 0
     0.633 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7fb198025d10, sigsetsize: 8             ) = 0
     0.635 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7fb198025db0, sigsetsize: 8           ) = 0
     0.637 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7fb198025d10, sigsetsize: 8            ) = 0
     0.639 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, oact: 0x7fb198025db0, sigsetsize: 8           ) = 0
     0.641 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, act: 0x7fb198025d10, sigsetsize: 8            ) = 0
     0.643 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, oact: 0x7fb198025db0, sigsetsize: 8            ) = 0
     0.645 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, act: 0x7fb198025d10, sigsetsize: 8             ) = 0
     0.647 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, oact: 0x7fb198025db0, sigsetsize: 8            ) = 0
     0.649 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, act: 0x7fb198025d10, sigsetsize: 8             ) = 0
     0.651 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, oact: 0x7fb198025db0, sigsetsize: 8           ) = 0
