         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x55f27c3a3000
     0.026 ( 0.003 ms): memoriaOverhea/7 access(filename: 0xd748b4e7                                           ) = -1 ENOENT No such file or directory
     0.032 ( 0.002 ms): memoriaOverhea/7 access(filename: 0xd748dc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.003 ms): memoriaOverhea/7 open(filename: 0xd748b988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.002 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffee9f16d70                                  ) = 0
     0.045 ( 0.002 ms): memoriaOverhea/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f1bd768d000
     0.049 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): memoriaOverhea/7 access(filename: 0xd748b4e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): memoriaOverhea/7 open(filename: 0xd7693d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffee9f16f18, count: 832                           ) = 832
     0.063 ( 0.001 ms): memoriaOverhea/7 fstat(fd: 3, statbuf: 0x7ffee9f16db0                                  ) = 0
     0.065 ( 0.002 ms): memoriaOverhea/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f1bd768b000
     0.069 ( 0.002 ms): memoriaOverhea/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f1bd70cf000
     0.072 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f1bd7264000, len: 2097152                          ) = 0
     0.076 ( 0.003 ms): memoriaOverhea/7 mmap(addr: 0x7f1bd7464000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f1bd7464000
     0.083 ( 0.002 ms): memoriaOverhea/7 mmap(addr: 0x7f1bd746a000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f1bd746a000
     0.090 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): memoriaOverhea/7 arch_prctl(option: 4098, arg2: 139757554811968                        ) = 0
     0.134 ( 0.003 ms): memoriaOverhea/7 mprotect(start: 0x7f1bd7464000, len: 16384, prot: READ                ) = 0
     0.139 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x55f27a8b5000, len: 4096, prot: READ                 ) = 0
     0.143 ( 0.002 ms): memoriaOverhea/7 mprotect(start: 0x7f1bd7691000, len: 4096, prot: READ                 ) = 0
     0.146 ( 0.003 ms): memoriaOverhea/7 munmap(addr: 0x7f1bd768d000, len: 13580                               ) = 0
     0.274 ( 0.008 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffee9c7e390, flags: CLOEXEC                          ) = 0
     0.283 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f1bd7682000
     0.285 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffee9c7e310, oset: 0x7ffee9c7e398, sigsetsize: 8) = 0
     0.288 ([33m 0.508 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 139757554806768, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55f27a6b4ca8) = 8 (memoriaOverhead)
     0.799 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     0.802 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffee9c7e308, count: 4                             ) = 0
     0.805 ( 0.006 ms): memoriaOverhea/7 munmap(addr: 0x7f1bd7682000, len: 36864                               ) = 0
