syscall,tool,depth,time
clone,perf,10,0.00020449999999999998
clone,perf,100,0.0001985
clone,strace,10,0.000233
clone,strace,100,0.000161
execvp,perf,10,0.000114
execvp,perf,100,0.0001715
execvp,strace,10,0.000252
execvp,strace,100,0.000282
fork,perf,10,0.000148
fork,perf,100,0.00016600000000000002
fork,strace,10,7.099999999999999e-05
fork,strace,100,8.15e-05
posix_spawnp,perf,10,0.0005610000000000001
posix_spawnp,perf,100,0.000553
posix_spawnp,strace,10,0.0002645
posix_spawnp,strace,100,0.0003065
