time,syscall,tool,depth
0.000185,execvp,perf,10
0.000116,execvp,perf,100
9.7e-05,execvp,perf,10
0.000105,execvp,perf,10
8.999999999999999e-05,execvp,perf,10
0.00011499999999999999,execvp,perf,100
0.000172,execvp,perf,100
0.000176,execvp,perf,10
0.000135,execvp,perf,100
0.00015700000000000002,execvp,perf,10
0.000322,execvp,perf,100
0.000934,execvp,perf,100
9.8e-05,execvp,perf,10
0.00013,execvp,perf,10
0.001205,execvp,perf,100
0.000137,execvp,perf,10
0.000174,execvp,perf,100
0.000141,execvp,perf,100
0.00012,execvp,perf,10
0.000157,execvp,perf,10
0.00017,execvp,perf,100
0.000102,execvp,perf,10
0.000147,execvp,perf,100
0.00018800000000000002,execvp,perf,100
0.000135,execvp,perf,10
0.00010100000000000002,execvp,perf,10
0.000285,execvp,perf,100
9.6e-05,execvp,perf,10
0.00017099999999999998,execvp,perf,100
0.000136,execvp,perf,10
0.000136,execvp,perf,10
0.00022200000000000003,execvp,perf,100
0.00023500000000000002,execvp,perf,100
0.000392,execvp,perf,10
9.4e-05,execvp,perf,10
0.00014800000000000002,execvp,perf,100
9.999999999999999e-05,execvp,perf,10
0.0001,execvp,perf,10
9.6e-05,execvp,perf,10
9.3e-05,execvp,perf,10
0.000108,execvp,perf,10
0.000106,execvp,perf,100
0.00010100000000000002,execvp,perf,10
0.000158,execvp,perf,100
0.000146,execvp,perf,10
0.000513,execvp,perf,100
0.000125,execvp,perf,10
0.000113,execvp,perf,100
0.00010899999999999999,execvp,perf,100
0.000389,execvp,perf,100
0.00018,execvp,perf,100
0.000152,execvp,perf,100
0.000187,execvp,perf,10
0.000314,execvp,perf,100
0.000176,execvp,perf,100
0.00011800000000000001,execvp,perf,100
0.000123,execvp,perf,100
9.099999999999999e-05,execvp,perf,10
0.000129,execvp,perf,10
0.000321,execvp,perf,100
0.00015900000000000002,fork,perf,10
0.000158,fork,perf,100
0.00014299999999999998,fork,perf,10
0.000194,fork,perf,10
0.000149,fork,perf,10
0.000419,fork,perf,100
0.00016700000000000002,fork,perf,100
0.00014299999999999998,fork,perf,10
0.000145,fork,perf,100
0.000146,fork,perf,10
0.000419,fork,perf,100
0.000174,fork,perf,100
0.00035299999999999996,fork,perf,10
0.000579,fork,perf,10
0.000228,fork,perf,100
0.00015900000000000002,fork,perf,10
0.000211,fork,perf,100
0.000153,fork,perf,100
0.00014099999999999998,fork,perf,10
0.000146,fork,perf,10
0.000147,fork,perf,100
0.000146,fork,perf,10
0.000173,fork,perf,100
0.000155,fork,perf,100
0.000164,fork,perf,10
0.000158,fork,perf,10
0.000481,fork,perf,100
0.000149,fork,perf,10
0.000164,fork,perf,100
0.00014299999999999998,fork,perf,10
0.000182,fork,perf,10
0.00016600000000000002,fork,perf,100
0.000235,fork,perf,100
0.000147,fork,perf,10
0.000147,fork,perf,10
0.000763,fork,perf,100
0.000163,fork,perf,10
0.000146,fork,perf,10
0.000146,fork,perf,10
0.000146,fork,perf,10
0.000157,fork,perf,10
0.00016600000000000002,fork,perf,100
0.00018800000000000002,fork,perf,10
0.000165,fork,perf,100
0.000155,fork,perf,10
0.000165,fork,perf,100
0.00014099999999999998,fork,perf,10
0.00027,fork,perf,100
0.00016600000000000002,fork,perf,100
0.000154,fork,perf,100
0.000161,fork,perf,100
0.00023200000000000003,fork,perf,100
0.000146,fork,perf,10
0.000152,fork,perf,100
0.000207,fork,perf,100
0.000161,fork,perf,100
0.000154,fork,perf,100
0.000152,fork,perf,10
0.000134,fork,perf,10
0.000173,fork,perf,100
0.00118,posix_spawnp,perf,10
0.000857,posix_spawnp,perf,100
0.00024099999999999995,posix_spawnp,perf,10
0.000538,posix_spawnp,perf,10
0.0006130000000000002,posix_spawnp,perf,10
0.00021799999999999996,posix_spawnp,perf,100
0.000416,posix_spawnp,perf,100
0.000498,posix_spawnp,perf,10
0.0007279999999999999,posix_spawnp,perf,100
0.000186,posix_spawnp,perf,10
0.000557,posix_spawnp,perf,100
0.000574,posix_spawnp,perf,100
