execve("./fileOverhead", ["./fileOverhead", "posix_spawnp", "100"], [/* 4 vars */])                                     = 0 <0.000416>
brk(NULL)                                                                                                               = 0x5575c4598000 <0.000049>
access("/etc/ld.so.nohwcap", F_OK)                                                                                      = -1 ENOENT (No such file or directory) <0.000072>
access("/etc/ld.so.preload", R_OK)                                                                                      = -1 ENOENT (No such file or directory) <0.000057>
open("/etc/ld.so.cache", O_RDONLY|O_CLOEXEC)                                                                            = 3 <0.000075>
fstat(3, {st_mode=S_IFREG|0644, st_size=13580, ...})                                                                    = 0 <0.000047>
mmap(NULL, 13580, PROT_READ, MAP_PRIVATE, 3, 0)                                                                         = 0x7fa4ac92c000 <0.000062>
close(3)                                                                                                                = 0 <0.000043>
access("/etc/ld.so.nohwcap", F_OK)                                                                                      = -1 ENOENT (No such file or directory) <0.000057>
open("/lib/x86_64-linux-gnu/libc.so.6", O_RDONLY|O_CLOEXEC)                                                             = 3 <0.000066>
read(3, "\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0\0\4\2\0\0\0\0\0"..., 832)                                       = 832 <0.000049>
fstat(3, {st_mode=S_IFREG|0755, st_size=1689360, ...})                                                                  = 0 <0.000056>
mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)                                                = 0x7fa4ac92a000 <0.000055>
mmap(NULL, 3795296, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)                                               = 0x7fa4ac36e000 <0.000084>
mprotect(0x7fa4ac503000, 2097152, PROT_NONE)                                                                            = 0 <0.000057>
mmap(0x7fa4ac703000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x195000)                     = 0x7fa4ac703000 <0.000069>
mmap(0x7fa4ac709000, 14688, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)                           = 0x7fa4ac709000 <0.000066>
close(3)                                                                                                                = 0 <0.000032>
arch_prctl(ARCH_SET_FS, 0x7fa4ac92b440)                                                                                 = 0 <0.000055>
mprotect(0x7fa4ac703000, 16384, PROT_READ)                                                                              = 0 <0.000049>
mprotect(0x5575c398c000, 4096, PROT_READ)                                                                               = 0 <0.000066>
mprotect(0x7fa4ac930000, 4096, PROT_READ)                                                                               = 0 <0.000052>
munmap(0x7fa4ac92c000, 13580)                                                                                           = 0 <0.000118>
stat("files/", 0x7ffeeaece730)                                                                                          = -1 ENOENT (No such file or directory) <0.000074>
fstat(1, {st_mode=S_IFCHR|0620, st_rdev=makedev(136, 0), ...})                                                          = 0 <0.000044>
brk(NULL)                                                                                                               = 0x5575c4598000 <0.000030>
brk(0x5575c45b9000)                                                                                                     = 0x5575c45b9000 <0.000045>
write(1, "Diretorio criado\n", 17Diretorio criado
)                                                                                      = 17 <0.000068>
mkdir("files/", 0700)                                                                                                   = 0 <0.000322>
open("files/file0.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                 = 3 <0.000188>
open("files/file1.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                 = 4 <0.000178>
open("files/file2.txt", O_WRONLY|O_CREAT|O_TRUNC, 0666)                                                                 = 5 <0.000140>
