         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5592171a3000
     0.051 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0xb582f4e7                                           ) = -1 ENOENT No such file or directory
     0.059 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0xb5831c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.067 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xb582f988, flags: CLOEXEC                             ) = 3
     0.074 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc19f9c260                                  ) = 0
     0.078 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f13b5a31000
     0.084 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.090 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xb582f4e7                                           ) = -1 ENOENT No such file or directory
     0.095 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0xb5a37d68, flags: CLOEXEC                             ) = 3
     0.103 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc19f9c408, count: 832                           ) = 832
     0.108 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc19f9c2a0                                  ) = 0
     0.112 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f13b5a2f000
     0.123 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f13b5473000
     0.128 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f13b5608000, len: 2097152                          ) = 0
     0.135 ( 0.005 ms): pesquisaOverhe/7 mmap(addr: 0x7f13b5808000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f13b5808000
     0.145 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f13b580e000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f13b580e000
     0.156 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.171 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139722628465728                        ) = 0
     0.221 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f13b5808000, len: 16384, prot: READ                ) = 0
     0.229 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x55921707f000, len: 4096, prot: READ                 ) = 0
     0.236 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f13b5a35000, len: 4096, prot: READ                 ) = 0
     0.241 ( 0.006 ms): pesquisaOverhe/7 munmap(addr: 0x7f13b5a31000, len: 13580                               ) = 0
     0.271 ([33m 0.011 ms[m): pesquisaOverhe/7 pipe2(fildes: 0x7ffc19f9c9a0, flags: CLOEXEC                          ) = 0
     0.284 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f13b5a26000
     0.289 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffc19f9c920, oset: 0x7ffc19f9c9a8, sigsetsize: 8) = 0
     0.294 ([33m 0.945 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 139722628460528, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x559216e7fa36) = 8 (pesquisaOverhea)
     1.243 ( 0.002 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     1.249 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc19f9c918, count: 4                             ) = 0
     1.253 ([33m 0.018 ms[m): pesquisaOverhe/7 munmap(addr: 0x7f13b5a26000, len: 36864                               ) = 0
     1.275 ( 0.002 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     1.284 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffc19f9c9a8, sigsetsize: 8      ) = 0
     1.303 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()
     0.584 ( 0.002 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.589 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, oset: 0x7f13b5a2eea0, sigsetsize: 8        ) = 0
     0.593 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.598 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.602 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.607 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.611 ( 0.005 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.619 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.622 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ILL, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.627 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ILL, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.631 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TRAP, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.635 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TRAP, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.640 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.644 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ABRT, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.648 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.653 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: BUS, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.657 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.661 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: FPE, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.665 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.669 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: USR1, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.674 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.678 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SEGV, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.682 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.687 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: USR2, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.691 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.695 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PIPE, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.700 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.704 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: ALRM, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.708 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.713 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.717 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f13b5a2edb0, sigsetsize: 8         ) = 0
     0.721 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f13b5a2ed10, sigsetsize: 8          ) = 0
     0.725 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.729 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.733 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.738 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.742 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.746 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.751 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.754 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.758 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.763 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.767 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.771 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.776 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.780 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.785 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.789 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.794 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f13b5a2edb0, sigsetsize: 8         ) = 0
     0.798 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f13b5a2ed10, sigsetsize: 8          ) = 0
     0.802 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.807 ( 0.003 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.812 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f13b5a2edb0, sigsetsize: 8          ) = 0
     0.816 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f13b5a2ed10, sigsetsize: 8           ) = 0
     0.820 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f13b5a2edb0, sigsetsize: 8             ) = 0
     0.824 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f13b5a2ed10, sigsetsize: 8              ) = 0
     0.829 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.833 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.837 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.841 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.846 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.851 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.855 ( 0.004 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.861 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.866 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.870 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.875 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.879 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.883 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.888 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
