         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x559046850000
     0.034 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0x7d3764e7                                           ) = -1 ENOENT No such file or directory
     0.043 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x7d378c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.048 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0x7d376988, flags: CLOEXEC                             ) = 3
     0.055 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffdbc919430                                  ) = 0
     0.059 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f5b7d578000
     0.065 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.069 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x7d3764e7                                           ) = -1 ENOENT No such file or directory
     0.074 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0x7d57ed68, flags: CLOEXEC                             ) = 3
     0.081 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffdbc9195d8, count: 832                           ) = 832
     0.086 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffdbc919470                                  ) = 0
     0.088 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f5b7d576000
     0.094 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f5b7cfba000
     0.099 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f5b7d14f000, len: 2097152                          ) = 0
     0.105 ( 0.005 ms): pesquisaOverhe/7 mmap(addr: 0x7f5b7d34f000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f5b7d34f000
     0.114 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f5b7d355000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f5b7d355000
     0.121 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.134 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140030921634880                        ) = 0
     0.171 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f5b7d34f000, len: 16384, prot: READ                ) = 0
     0.177 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x5590457db000, len: 4096, prot: READ                 ) = 0
     0.181 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f5b7d57c000, len: 4096, prot: READ                 ) = 0
     0.184 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7f5b7d578000, len: 13580                               ) = 0
     0.203 ( 0.009 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffdbc919b70, flags: CLOEXEC                          ) = 0
     0.213 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f5b7d56d000
     0.216 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffdbc919af0, oset: 0x7ffdbc919b78, sigsetsize: 8) = 0
     0.219 ([33m 0.446 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140030921629680, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5590455dba36) = 8 (pesquisaOverhea)
     0.668 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.671 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffdbc919ae8, count: 4                             ) = 0
     0.674 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7f5b7d56d000, len: 36864                               ) = 0
     0.680 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
