         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55b456fdf000
     0.029 ( 0.003 ms): pesquisaOverhe/8 access(filename: 0x9d6c04e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.002 ms): pesquisaOverhe/8 access(filename: 0x9d6c2c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.003 ms): pesquisaOverhe/8 open(filename: 0x9d6c0988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.003 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe034ee1a0                                  ) = 0
     0.045 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fcb9d8c2000
     0.048 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): pesquisaOverhe/8 access(filename: 0x9d6c04e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): pesquisaOverhe/8 open(filename: 0x9d8c8d68, flags: CLOEXEC                             ) = 3
     0.059 ( 0.002 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe034ee348, count: 832                           ) = 832
     0.062 ( 0.001 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe034ee1e0                                  ) = 0
     0.064 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fcb9d8c0000
     0.069 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fcb9d304000
     0.073 ( 0.003 ms): pesquisaOverhe/8 mprotect(start: 0x7fcb9d499000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): pesquisaOverhe/8 mmap(addr: 0x7fcb9d699000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fcb9d699000
     0.083 ( 0.002 ms): pesquisaOverhe/8 mmap(addr: 0x7fcb9d69f000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fcb9d69f000
     0.089 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): pesquisaOverhe/8 arch_prctl(option: 4098, arg2: 140512498291776                        ) = 0
     0.133 ( 0.003 ms): pesquisaOverhe/8 mprotect(start: 0x7fcb9d699000, len: 16384, prot: READ                ) = 0
     0.138 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x55b454fe5000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x7fcb9d8c6000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.003 ms): pesquisaOverhe/8 munmap(addr: 0x7fcb9d8c2000, len: 13580                               ) = 0
     0.162 ( 0.005 ms): pesquisaOverhe/8 pipe2(fildes: 0x7ffe034ee8e0, flags: CLOEXEC                          ) = 0
     0.168 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fcb9d8b7000
     0.170 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, nset: 0x7ffe034ee860, oset: 0x7ffe034ee8e8, sigsetsize: 8) = 0
     0.173 ([33m 0.452 ms[m): pesquisaOverhe/8 clone(clone_flags: 16657, newsp: 140512498286576, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55b454de5a36) = 9 (pesquisaOverhea)
     0.628 ( 0.001 ms): pesquisaOverhe/8 close(fd: 4                                                           ) = 0
     0.632 ( 0.001 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe034ee858, count: 4                             ) = 0
     0.634 ( 0.006 ms): pesquisaOverhe/8 munmap(addr: 0x7fcb9d8b7000, len: 36864                               ) = 0
     0.641 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.645 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe034ee8e8, sigsetsize: 8      ) = 0
     0.655 (     ?   ): pesquisaOverhe/8 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: clone()
     0.314 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.317 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: BLOCK, oset: 0x7fcb9d8bfea0, sigsetsize: 8        ) = 0
     0.319 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.322 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.324 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.326 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.328 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.330 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.332 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.334 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.337 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.339 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.341 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.343 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.345 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.347 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.349 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.351 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.354 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.356 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.358 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.360 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.369 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.371 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.377 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.380 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, oact: 0x7fcb9d8bfdb0, sigsetsize: 8         ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, act: 0x7fcb9d8bfd10, sigsetsize: 8          ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.388 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.390 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.396 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, oact: 0x7fcb9d8bfdb0, sigsetsize: 8         ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, act: 0x7fcb9d8bfd10, sigsetsize: 8          ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, oact: 0x7fcb9d8bfdb0, sigsetsize: 8          ) = 0
     0.425 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, act: 0x7fcb9d8bfd10, sigsetsize: 8           ) = 0
     0.427 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, oact: 0x7fcb9d8bfdb0, sigsetsize: 8             ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, act: 0x7fcb9d8bfd10, sigsetsize: 8              ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, oact: 0x7fcb9d8bfdb0, sigsetsize: 8            ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, act: 0x7fcb9d8bfd10, sigsetsize: 8             ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x20, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x21, act: 0x7fcb9d8bfd10, sigsetsize: 8            ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, oact: 0x7fcb9d8bfdb0, sigsetsize: 8           ) = 0
