         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x556c4eb3d000
     0.051 ( 0.008 ms): pesquisaOverhe/7 access(filename: 0xcc7744e7                                           ) = -1 ENOENT No such file or directory
     0.063 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0xcc776c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.071 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xcc774988, flags: CLOEXEC                             ) = 3
     0.078 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff96ebcb80                                  ) = 0
     0.081 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7ff4cc976000
     0.086 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.090 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xcc7744e7                                           ) = -1 ENOENT No such file or directory
     0.095 ( 0.007 ms): pesquisaOverhe/7 open(filename: 0xcc97cd68, flags: CLOEXEC                             ) = 3
     0.103 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff96ebcd28, count: 832                           ) = 832
     0.107 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff96ebcbc0                                  ) = 0
     0.111 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7ff4cc974000
     0.118 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7ff4cc3b8000
     0.124 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7ff4cc54d000, len: 2097152                          ) = 0
     0.130 ( 0.006 ms): pesquisaOverhe/7 mmap(addr: 0x7ff4cc74d000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7ff4cc74d000
     0.141 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7ff4cc753000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7ff4cc753000
     0.149 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.160 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140689381217344                        ) = 0
     0.204 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7ff4cc74d000, len: 16384, prot: READ                ) = 0
     0.212 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x556c4cc87000, len: 4096, prot: READ                 ) = 0
     0.218 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7ff4cc97a000, len: 4096, prot: READ                 ) = 0
     0.223 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7ff4cc976000, len: 13580                               ) = 0
     0.262 ( 0.007 ms): pesquisaOverhe/7 pipe2(fildes: 0x7fff96ebd2c0, flags: CLOEXEC                          ) = 0
     0.271 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7ff4cc96b000
     0.277 ( 0.003 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7fff96ebd240, oset: 0x7fff96ebd2c8, sigsetsize: 8) = 0
     0.283 ([33m 0.669 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140689381212144, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x556c4ca87a36) = 8 (pesquisaOverhea)
     0.955 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.958 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff96ebd238, count: 4                             ) = 0
     0.960 ( 0.007 ms): pesquisaOverhe/7 munmap(addr: 0x7ff4cc96b000, len: 36864                               ) = 0
     0.968 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
