         ? (     ?   ): pesquisaOverhe/10  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.001 ms): pesquisaOverhe/10 brk(                                                                  ) = 0x55f4d5a5b000
     0.036 ( 0.006 ms): pesquisaOverhe/10 access(filename: 0x4136c4e7                                           ) = -1 ENOENT No such file or directory
     0.045 ( 0.002 ms): pesquisaOverhe/10 access(filename: 0x4136ec70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.053 ( 0.005 ms): pesquisaOverhe/10 open(filename: 0x4136c988, flags: CLOEXEC                             ) = 3
     0.059 ( 0.002 ms): pesquisaOverhe/10 fstat(fd: 3, statbuf: 0x7ffe181e3000                                  ) = 0
     0.062 ( 0.003 ms): pesquisaOverhe/10 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fa74156e000
     0.066 ( 0.001 ms): pesquisaOverhe/10 close(fd: 3                                                           ) = 0
     0.070 ( 0.002 ms): pesquisaOverhe/10 access(filename: 0x4136c4e7                                           ) = -1 ENOENT No such file or directory
     0.074 ( 0.005 ms): pesquisaOverhe/10 open(filename: 0x41574d68, flags: CLOEXEC                             ) = 3
     0.080 ( 0.002 ms): pesquisaOverhe/10 read(fd: 3, buf: 0x7ffe181e31a8, count: 832                           ) = 832
     0.084 ( 0.001 ms): pesquisaOverhe/10 fstat(fd: 3, statbuf: 0x7ffe181e3040                                  ) = 0
     0.086 ( 0.002 ms): pesquisaOverhe/10 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fa74156c000
     0.092 ( 0.003 ms): pesquisaOverhe/10 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fa740fb0000
     0.097 ( 0.005 ms): pesquisaOverhe/10 mprotect(start: 0x7fa741145000, len: 2097152                          ) = 0
     0.103 ( 0.005 ms): pesquisaOverhe/10 mmap(addr: 0x7fa741345000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fa741345000
     0.112 ( 0.003 ms): pesquisaOverhe/10 mmap(addr: 0x7fa74134b000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fa74134b000
     0.120 ( 0.001 ms): pesquisaOverhe/10 close(fd: 3                                                           ) = 0
     0.131 ( 0.001 ms): pesquisaOverhe/10 arch_prctl(option: 4098, arg2: 140356332475456                        ) = 0
     0.172 ( 0.004 ms): pesquisaOverhe/10 mprotect(start: 0x7fa741345000, len: 16384, prot: READ                ) = 0
     0.179 ( 0.003 ms): pesquisaOverhe/10 mprotect(start: 0x55f4d5a58000, len: 4096, prot: READ                 ) = 0
     0.185 ( 0.002 ms): pesquisaOverhe/10 mprotect(start: 0x7fa741572000, len: 4096, prot: READ                 ) = 0
     0.189 ( 0.004 ms): pesquisaOverhe/10 munmap(addr: 0x7fa74156e000, len: 13580                               ) = 0
     0.218 ([33m 0.012 ms[m): pesquisaOverhe/10 pipe2(fildes: 0x7ffe181e3740, flags: CLOEXEC                          ) = 0
     0.231 ( 0.002 ms): pesquisaOverhe/10 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fa741563000
     0.235 ( 0.002 ms): pesquisaOverhe/10 rt_sigprocmask(how: BLOCK, nset: 0x7ffe181e36c0, oset: 0x7ffe181e3748, sigsetsize: 8) = 0
     0.239 ([33m 0.684 ms[m): pesquisaOverhe/10 clone(clone_flags: 16657, newsp: 140356332470256, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55f4d5858a36) = 11 (pesquisaOverhea)
     0.926 ( 0.001 ms): pesquisaOverhe/10 close(fd: 4                                                           ) = 0
     0.931 ( 0.002 ms): pesquisaOverhe/10 read(fd: 3, buf: 0x7ffe181e36b8, count: 4                             ) = 0
     0.933 ( 0.006 ms): pesquisaOverhe/10 munmap(addr: 0x7fa741563000, len: 36864                               ) = 0
     0.941 ( 0.001 ms): pesquisaOverhe/10 close(fd: 3                                                           ) = 0
     0.946 ( 0.001 ms): pesquisaOverhe/10 rt_sigprocmask(how: SETMASK, nset: 0x7ffe181e3748, sigsetsize: 8      ) = 0
     0.955 (     ?   ): pesquisaOverhe/10 exit_group(                                                           )
         ? (     ?   ): sleep/11  ... [[33mcontinued[m]: execve()) = 0
     0.971 ( 0.001 ms): sleep/11 brk(                                                                  ) = 0x5649b6eab000
     0.984 ( 0.004 ms): sleep/11 access(filename: 0xc4ca64e7                                           ) = -1 ENOENT No such file or directory
     0.992 ( 0.002 ms): sleep/11 access(filename: 0xc4ca8c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.999 ( 0.004 ms): sleep/11 open(filename: 0xc4ca6988, flags: CLOEXEC                             ) = 3
     1.004 ( 0.002 ms): sleep/11 fstat(fd: 3, statbuf: 0x7ffc631dec90                                  ) = 0
     1.007 ( 0.003 ms): sleep/11 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f7ac4ea8000
     1.011 ( 0.001 ms): sleep/11 close(fd: 3                                                           ) = 0
     1.015 ( 0.002 ms): sleep/11 access(filename: 0xc4ca64e7                                           ) = -1 ENOENT No such file or directory
     1.019 ( 0.005 ms): sleep/11 open(filename: 0xc4eaed68, flags: CLOEXEC                             ) = 3
     1.025 ( 0.002 ms): sleep/11 read(fd: 3, buf: 0x7ffc631dee38, count: 832                           ) = 832
     1.029 ( 0.001 ms): sleep/11 fstat(fd: 3, statbuf: 0x7ffc631decd0                                  ) = 0
     1.031 ( 0.002 ms): sleep/11 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f7ac4ea6000
     1.037 ( 0.003 ms): sleep/11 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f7ac48ea000
     1.041 ( 0.004 ms): sleep/11 mprotect(start: 0x7f7ac4a7f000, len: 2097152                          ) = 0
     1.046 ( 0.005 ms): sleep/11 mmap(addr: 0x7f7ac4c7f000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f7ac4c7f000
     1.055 ( 0.003 ms): sleep/11 mmap(addr: 0x7f7ac4c85000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f7ac4c85000
     1.063 ( 0.001 ms): sleep/11 close(fd: 3                                                           ) = 0
     1.073 ( 0.001 ms): sleep/11 arch_prctl(option: 4098, arg2: 140165266437248                        ) = 0
