         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x561b396cd000
     0.029 ( 0.003 ms): pesquisaOverhe/6 access(filename: 0x9a5744e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.001 ms): pesquisaOverhe/6 access(filename: 0x9a576c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): pesquisaOverhe/6 open(filename: 0x9a574988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffefbf02fa0                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f109a776000
     0.049 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/6 access(filename: 0x9a5744e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): pesquisaOverhe/6 open(filename: 0x9a77cd68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffefbf03148, count: 832                           ) = 832
     0.063 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffefbf02fe0                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f109a774000
     0.070 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f109a1b8000
     0.073 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7f109a34d000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7f109a54d000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f109a54d000
     0.084 ( 0.002 ms): pesquisaOverhe/6 mmap(addr: 0x7f109a553000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f109a553000
     0.090 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 139709287715904                        ) = 0
     0.132 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7f109a54d000, len: 16384, prot: READ                ) = 0
     0.137 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x561b37fb1000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7f109a77a000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.003 ms): pesquisaOverhe/6 munmap(addr: 0x7f109a776000, len: 13580                               ) = 0
     0.163 ( 0.005 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffefbf036e0, flags: CLOEXEC                          ) = 0
     0.170 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f109a76b000
     0.172 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffefbf03660, oset: 0x7ffefbf036e8, sigsetsize: 8) = 0
         ? (     ?   ): sleep/7  ... [[33mcontinued[m]: execve()) = 0
     0.175 ([33m 0.496 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 139709287710704, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x561b37db1a36) ...
     0.671 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x55d185b41000
     0.684 ( 0.003 ms): sleep/7 access(filename: 0x83edc4e7                                           ) = -1 ENOENT No such file or directory
     0.689 ( 0.002 ms): sleep/7 access(filename: 0x83edec70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.696 ( 0.004 ms): sleep/7 open(filename: 0x83edc988, flags: CLOEXEC                             ) = 3
     0.701 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7fffc5d0a0a0                                  ) = 0
     0.704 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f1b840de000
     0.708 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.712 ( 0.002 ms): sleep/7 access(filename: 0x83edc4e7                                           ) = -1 ENOENT No such file or directory
