         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.025 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b6399bf000
     0.037 ( 0.006 ms): pesquisaOverhe/7 access(filename: 0x15bee4e7                                           ) = -1 ENOENT No such file or directory
     0.045 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x15bf0c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.052 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x15bee988, flags: CLOEXEC                             ) = 3
     0.058 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff0137d0f0                                  ) = 0
     0.061 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6215df0000
     0.066 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.070 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x15bee4e7                                           ) = -1 ENOENT No such file or directory
     0.074 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x15df6d68, flags: CLOEXEC                             ) = 3
     0.081 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff0137d298, count: 832                           ) = 832
     0.085 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff0137d130                                  ) = 0
     0.089 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6215dee000
     0.095 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f6215832000
     0.100 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f62159c7000, len: 2097152                          ) = 0
     0.106 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f6215bc7000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f6215bc7000
     0.115 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f6215bcd000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f6215bcd000
     0.123 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.136 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140059250455616                        ) = 0
     0.176 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f6215bc7000, len: 16384, prot: READ                ) = 0
     0.183 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x55b638e7d000, len: 4096, prot: READ                 ) = 0
