         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5572edd72000
     0.028 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0x98cd04e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x98cd2c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x98cd0988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffcb5dff2e0                                  ) = 0
     0.045 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f3f98ed2000
     0.049 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x98cd04e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x98ed8d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffcb5dff488, count: 832                           ) = 832
     0.063 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffcb5dff320                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f3f98ed0000
     0.069 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f3f98914000
     0.072 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f3f98aa9000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f3f98ca9000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f3f98ca9000
     0.083 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f3f98caf000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f3f98caf000
     0.089 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.097 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139911125341248                        ) = 0
     0.132 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f3f98ca9000, len: 16384, prot: READ                ) = 0
     0.137 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x5572ec3b6000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f3f98ed6000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7f3f98ed2000, len: 13580                               ) = 0
     0.163 ( 0.005 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffcb5dffa20, flags: CLOEXEC                          ) = 0
     0.169 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f3f98ec7000
     0.172 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffcb5dff9a0, oset: 0x7ffcb5dffa28, sigsetsize: 8) = 0
     0.175 ([33m 0.452 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 139911125336048, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5572ec1b6a36) = 8 (pesquisaOverhea)
     0.629 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.633 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffcb5dff998, count: 4                             ) = 0
