         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.024 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55699b5f8000
     0.039 ( 0.006 ms): pesquisaOverhe/7 access(filename: 0x297d04e7                                           ) = -1 ENOENT No such file or directory
     0.047 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x297d2c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.055 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0x297d0988, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc81611ec0                                  ) = 0
     0.065 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fb5299d2000
     0.071 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.076 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x297d04e7                                           ) = -1 ENOENT No such file or directory
     0.080 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0x299d8d68, flags: CLOEXEC                             ) = 3
     0.088 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc81612068, count: 832                           ) = 832
     0.092 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc81611f00                                  ) = 0
     0.096 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fb5299d0000
     0.102 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fb529414000
     0.108 ( 0.006 ms): pesquisaOverhe/7 mprotect(start: 0x7fb5295a9000, len: 2097152                          ) = 0
     0.115 ( 0.005 ms): pesquisaOverhe/7 mmap(addr: 0x7fb5297a9000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fb5297a9000
