         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55ac38871000
     0.032 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0x583f54e7                                           ) = -1 ENOENT No such file or directory
     0.037 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x583f7c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.042 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x583f5988, flags: CLOEXEC                             ) = 3
     0.046 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3<pipe:[1152396]>, statbuf: 0x7ffd110ca730                  ) = 0
     0.048 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f80585f7000
     0.052 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3<pipe:[1152396]>                                           ) = 0
     0.055 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x583f54e7                                           ) = -1 ENOENT No such file or directory
     0.058 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x585fdd68, flags: CLOEXEC                             ) = 3
     0.063 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd110ca8d8, count: 832                           ) = 832
     0.066 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd110ca770                                  ) = 0
     0.068 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f80585f5000
     0.072 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f8058039000
     0.076 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f80581ce000, len: 2097152                          ) = 0
