         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x555eb95be000
     0.033 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0x4f3a14e7                                           ) = -1 ENOENT No such file or directory
     0.040 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x4f3a3c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.046 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x4f3a1988, flags: CLOEXEC                             ) = 3
     0.050 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd0c66dc30                                  ) = 0
     0.052 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f9c4f5a3000
     0.057 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.061 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x4f3a14e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x4f5a9d68, flags: CLOEXEC                             ) = 3
     0.071 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd0c66ddd8, count: 832                           ) = 832
     0.074 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd0c66dc70                                  ) = 0
     0.077 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f9c4f5a1000
     0.082 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f9c4efe5000
     0.087 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f9c4f17a000, len: 2097152                          ) = 0
     0.093 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f9c4f37a000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f9c4f37a000
     0.101 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f9c4f380000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f9c4f380000
