         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55f6fb725000
     0.036 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0x5077a4e7                                           ) = -1 ENOENT No such file or directory
     0.044 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x5077cc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.050 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x5077a988, flags: CLOEXEC                             ) = 3
     0.056 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd7837b040                                  ) = 0
     0.060 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f115097c000
     0.065 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.069 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x5077a4e7                                           ) = -1 ENOENT No such file or directory
     0.074 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0x50982d68, flags: CLOEXEC                             ) = 3
     0.081 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd7837b1e8, count: 832                           ) = 832
     0.086 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd7837b080                                  ) = 0
     0.089 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f115097a000
     0.095 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f11503be000
     0.099 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f1150553000, len: 2097152                          ) = 0
     0.106 ( 0.005 ms): pesquisaOverhe/7 mmap(addr: 0x7f1150753000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f1150753000
     0.115 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f1150759000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f1150759000
     0.124 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.135 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139712343290944                        ) = 0
     0.183 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f1150753000, len: 16384, prot: READ                ) = 0
     0.190 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x55f6fa339000, len: 4096, prot: READ                 ) = 0
