         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.033 ( 0.004 ms): pesquisaOverhe/6 access(filename: 0xa1b104e7                                           ) = -1 ENOENT No such file or directory
     0.039 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0xa1b12c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.044 ( 0.003 ms): pesquisaOverhe/6 open(filename: 0xa1b10988, flags: CLOEXEC                             ) = 3
     0.049 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffdb48b71b0                                  ) = 0
     0.051 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f4aa1d12000
     0.055 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.059 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0xa1b104e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): pesquisaOverhe/6 open(filename: 0xa1d18d68, flags: CLOEXEC                             ) = 3
     0.070 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffdb48b7358, count: 832                           ) = 832
     0.073 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffdb48b71f0                                  ) = 0
     0.076 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f4aa1d10000
     0.083 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f4aa1754000
     0.087 ( 0.004 ms): pesquisaOverhe/6 mprotect(start: 0x7f4aa18e9000, len: 2097152                          ) = 0
     0.092 ( 0.004 ms): pesquisaOverhe/6 mmap(addr: 0x7f4aa1ae9000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f4aa1ae9000
     0.100 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7f4aa1aef000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f4aa1aef000
     0.108 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.118 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 139958519141440                        ) = 0
     0.161 ( 0.004 ms): pesquisaOverhe/6 mprotect(start: 0x7f4aa1ae9000, len: 16384, prot: READ                ) = 0
     0.168 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x55ccf5801000, len: 4096, prot: READ                 ) = 0
     0.173 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7f4aa1d16000, len: 4096, prot: READ                 ) = 0
     0.177 ( 0.004 ms): pesquisaOverhe/6 munmap(addr: 0x7f4aa1d12000, len: 13580                               ) = 0
     0.199 ( 0.006 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffdb48b78f0, flags: CLOEXEC                          ) = 0
     0.207 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f4aa1d07000
     0.211 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffdb48b7870, oset: 0x7ffdb48b78f8, sigsetsize: 8) = 0
     0.214 ([33m 0.417 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 139958519136240, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55ccf5601a36) = 7 (pesquisaOverhea)
     0.634 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     0.637 ( 0.001 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffdb48b7868, count: 4                             ) = 0
     0.640 ( 0.006 ms): pesquisaOverhe/6 munmap(addr: 0x7f4aa1d07000, len: 36864                               ) = 0
     0.647 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.651 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffdb48b78f8, sigsetsize: 8      ) = 0
     0.661 (     ?   ): pesquisaOverhe/6 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()
     0.359 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.361 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, oset: 0x7f4aa1d0fea0, sigsetsize: 8        ) = 0
     0.363 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: HUP, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.365 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: HUP, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: INT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.368 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: INT, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: QUIT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.372 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: QUIT, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.373 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ILL, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ILL, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.376 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TRAP, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TRAP, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.379 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
