         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x564528efe000
     0.029 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x3e9f44e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x3e9f6c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x3e9f4988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffe6dd6d000                                  ) = 0
     0.047 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7faf3ebf6000
     0.050 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.054 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x3e9f44e7                                           ) = -1 ENOENT No such file or directory
     0.057 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x3ebfcd68, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffe6dd6d1a8, count: 832                           ) = 832
     0.065 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffe6dd6d040                                  ) = 0
     0.067 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7faf3ebf4000
     0.072 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7faf3e638000
     0.075 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7faf3e7cd000, len: 2097152                          ) = 0
     0.080 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7faf3e9cd000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7faf3e9cd000
     0.086 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7faf3e9d3000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7faf3e9d3000
     0.092 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140390648730688                        ) = 0
     0.140 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7faf3e9cd000, len: 16384, prot: READ                ) = 0
     0.146 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x564528be8000, len: 4096, prot: READ                 ) = 0
     0.151 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7faf3ebfa000, len: 4096, prot: READ                 ) = 0
     0.155 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7faf3ebf6000, len: 13580                               ) = 0
     0.180 ( 0.004 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffe6dd6d740, flags: CLOEXEC                          ) = 0
     0.185 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7faf3ebeb000
     0.189 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffe6dd6d6c0, oset: 0x7ffe6dd6d748, sigsetsize: 8) = 0
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.192 ([33m 0.523 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140390648725488, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5645289e8a36) ...
     0.715 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5587d83df000
     0.729 ( 0.004 ms): sleep/8 access(filename: 0x998314e7                                           ) = -1 ENOENT No such file or directory
     0.735 ( 0.002 ms): sleep/8 access(filename: 0x99833c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.741 ( 0.004 ms): sleep/8 open(filename: 0x99831988, flags: CLOEXEC                             ) = 3
     0.746 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd130f7d90                                  ) = 0
     0.750 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6099a33000
     0.754 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.758 ( 0.002 ms): sleep/8 access(filename: 0x998314e7                                           ) = -1 ENOENT No such file or directory
     0.762 ( 0.005 ms): sleep/8 open(filename: 0x99a39d68, flags: CLOEXEC                             ) = 3
     0.768 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd130f7f38, count: 832                           ) = 832
     0.772 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd130f7dd0                                  ) = 0
     0.775 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6099a31000
     0.780 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f6099475000
