         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     0.030 ( 0.005 ms): pesquisaOverhe/8 access(filename: 0x9450e4e7                                           ) = -1 ENOENT No such file or directory
     0.036 ( 0.003 ms): pesquisaOverhe/8 access(filename: 0x94510c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.042 ( 0.004 ms): pesquisaOverhe/8 open(filename: 0x9450e988, flags: CLOEXEC                             ) = 3
     0.047 ( 0.002 ms): pesquisaOverhe/8 fstat(fd: 3<pipe:[1165352]>, statbuf: 0x7ffe616fd320                  ) = 0
     0.050 ( 0.003 ms): pesquisaOverhe/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f2f94710000
     0.053 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3<pipe:[1165352]>                                           ) = 0
     0.057 ( 0.001 ms): pesquisaOverhe/8 access(filename: 0x9450e4e7                                           ) = -1 ENOENT No such file or directory
     0.060 ( 0.005 ms): pesquisaOverhe/8 open(filename: 0x94716d68, flags: CLOEXEC                             ) = 3
     0.065 ( 0.002 ms): pesquisaOverhe/8 read(fd: 3<pipe:[1165352]>, buf: 0x7ffe616fd4c8, count: 832           ) = 832
     0.069 ( 0.001 ms): pesquisaOverhe/8 fstat(fd: 3<pipe:[1165352]>, statbuf: 0x7ffe616fd360                  ) = 0
     0.071 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f2f9470e000
     0.075 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2f94152000
     0.079 ( 0.004 ms): pesquisaOverhe/8 mprotect(start: 0x7f2f942e7000, len: 2097152                          ) = 0
     0.083 ( 0.003 ms): pesquisaOverhe/8 mmap(addr: 0x7f2f944e7000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f2f944e7000
     0.090 ( 0.002 ms): pesquisaOverhe/8 mmap(addr: 0x7f2f944ed000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f2f944ed000
     0.096 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3<pipe:[1165352]>                                           ) = 0
     0.105 ( 0.001 ms): pesquisaOverhe/8 arch_prctl(option: 4098, arg2: 139842330620992                        ) = 0
     0.141 ( 0.004 ms): pesquisaOverhe/8 mprotect(start: 0x7f2f944e7000, len: 16384, prot: READ                ) = 0
     0.147 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x55fabce30000, len: 4096, prot: READ                 ) = 0
     0.151 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x7f2f94714000, len: 4096, prot: READ                 ) = 0
     0.154 ( 0.003 ms): pesquisaOverhe/8 munmap(addr: 0x7f2f94710000, len: 13580                               ) = 0
     0.176 ( 0.008 ms): pesquisaOverhe/8 pipe2(fildes: 0x7ffe616fda60, flags: CLOEXEC                          ) = 0
     0.185 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f2f94705000
     0.188 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, nset: 0x7ffe616fd9e0, oset: 0x7ffe616fda68, sigsetsize: 8) = 0
         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: clone()
     0.191 ([31m 2.120 ms[m): pesquisaOverhe/8 clone(clone_flags: 16657, newsp: 139842330615792, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55fabcc30a36) ...
     2.311 ( 0.002 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     2.314 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: BLOCK, oset: 0x7f2f9470dea0, sigsetsize: 8        ) = 0
     2.317 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.319 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.321 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.323 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.326 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.328 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.330 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.332 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.334 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.336 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.338 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.340 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.342 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.344 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.346 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.348 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.350 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.352 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.354 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.356 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.358 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.360 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
