         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.037 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x562d9530b000
     0.050 ( 0.008 ms): pesquisaOverhe/7 access(filename: 0xa25934e7                                           ) = -1 ENOENT No such file or directory
     0.060 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xa2595c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.066 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xa2593988, flags: CLOEXEC                             ) = 3
     0.072 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff4358a590                                  ) = 0
     0.075 ( 0.006 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f88a2795000
     0.082 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.087 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xa25934e7                                           ) = -1 ENOENT No such file or directory
     0.091 ( 0.006 ms): pesquisaOverhe/7 open(filename: 0xa279bd68, flags: CLOEXEC                             ) = 3
     0.099 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff4358a738, count: 832                           ) = 832
     0.104 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff4358a5d0                                  ) = 0
     0.106 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f88a2793000
     0.114 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f88a21d7000
     0.120 ( 0.006 ms): pesquisaOverhe/7 mprotect(start: 0x7f88a236c000, len: 2097152                          ) = 0
     0.127 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f88a256c000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f88a256c000
     0.135 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f88a2572000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f88a2572000
     0.143 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.155 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140224818136128                        ) = 0
     0.198 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f88a256c000, len: 16384, prot: READ                ) = 0
     0.204 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x562d94cb8000, len: 4096, prot: READ                 ) = 0
     0.210 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f88a2799000, len: 4096, prot: READ                 ) = 0
     0.214 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7f88a2795000, len: 13580                               ) = 0
     0.234 ([33m 0.011 ms[m): pesquisaOverhe/7 pipe2(fildes: 0x7fff4358acd0, flags: CLOEXEC                          ) = 0
     0.246 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f88a278a000
     0.250 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7fff4358ac50, oset: 0x7fff4358acd8, sigsetsize: 8) = 0
     0.254 ([33m 0.435 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140224818130928, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x562d94ab8a36) = 8 (pesquisaOverhea)
     0.691 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.694 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff4358ac48, count: 4                             ) = 0
     0.697 ( 0.006 ms): pesquisaOverhe/7 munmap(addr: 0x7f88a278a000, len: 36864                               ) = 0
     0.705 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.709 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7fff4358acd8, sigsetsize: 8      ) = 0
     0.719 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()
     0.417 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
