         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x557f6036c000
     0.027 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x6cc3e4e7                                           ) = -1 ENOENT No such file or directory
     0.031 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x6cc40c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x6cc3e988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffefbab9df0                                  ) = 0
     0.045 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f356ce40000
     0.048 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.051 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x6cc3e4e7                                           ) = -1 ENOENT No such file or directory
     0.054 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x6ce46d68, flags: CLOEXEC                             ) = 3
     0.059 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffefbab9f98, count: 832                           ) = 832
     0.062 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffefbab9e30                                  ) = 0
     0.064 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f356ce3e000
     0.068 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f356c882000
     0.071 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f356ca17000, len: 2097152                          ) = 0
     0.075 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f356cc17000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f356cc17000
     0.081 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f356cc1d000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f356cc1d000
     0.087 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.096 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139867436872768                        ) = 0
     0.129 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f356cc17000, len: 16384, prot: READ                ) = 0
     0.134 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x557f5e7ae000, len: 4096, prot: READ                 ) = 0
     0.138 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f356ce44000, len: 4096, prot: READ                 ) = 0
     0.141 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7f356ce40000, len: 13580                               ) = 0
