         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55a0e2246000
     0.027 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x9b32f4e7                                           ) = -1 ENOENT No such file or directory
     0.032 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x9b331c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x9b32f988, flags: CLOEXEC                             ) = 3
     0.042 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff6a5b1c40                                  ) = 0
     0.045 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f399b531000
     0.048 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x9b32f4e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x9b537d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fff6a5b1de8, count: 832                           ) = 832
     0.062 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fff6a5b1c80                                  ) = 0
     0.064 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f399b52f000
     0.068 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f399af73000
     0.072 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f399b108000, len: 2097152                          ) = 0
     0.076 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f399b308000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f399b308000
