         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.029 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5594a4a90000
     0.043 ( 0.007 ms): pesquisaOverhe/7 access(filename: 0xb36724e7                                           ) = -1 ENOENT No such file or directory
     0.052 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xb3674c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.059 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0xb3672988, flags: CLOEXEC                             ) = 3
     0.064 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc91666fc0                                  ) = 0
     0.067 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f39b3874000
     0.073 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.077 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xb36724e7                                           ) = -1 ENOENT No such file or directory
     0.081 ( 0.007 ms): pesquisaOverhe/7 open(filename: 0xb387ad68, flags: CLOEXEC                             ) = 3
     0.090 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc91667168, count: 832                           ) = 832
     0.094 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc91667000                                  ) = 0
     0.097 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f39b3872000
     0.104 ( 0.005 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f39b32b6000
     0.110 ( 0.009 ms): pesquisaOverhe/7 mprotect(start: 0x7f39b344b000, len: 2097152                          ) = 0
     0.121 ( 0.005 ms): pesquisaOverhe/7 mmap(addr: 0x7f39b364b000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f39b364b000
     0.132 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f39b3651000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f39b3651000
     0.140 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.154 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139885801845824                        ) = 0
     0.196 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f39b364b000, len: 16384, prot: READ                ) = 0
     0.204 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x5594a2d78000, len: 4096, prot: READ                 ) = 0
     0.210 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f39b3878000, len: 4096, prot: READ                 ) = 0
     0.214 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7f39b3874000, len: 13580                               ) = 0
