         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.031 ( 0.002 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55e9f0d0d000
     0.048 ( 0.006 ms): pesquisaOverhe/6 access(filename: 0xabadc4e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0xabadec70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.065 ( 0.006 ms): pesquisaOverhe/6 open(filename: 0xabadc988, flags: CLOEXEC                             ) = 3
     0.072 ( 0.002 ms): pesquisaOverhe/6 fstat(fd: 3<pipe:[580264]>, statbuf: 0x7ffcf490c460                   ) = 0
     0.077 ( 0.005 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f44abcde000
     0.083 ( 0.002 ms): pesquisaOverhe/6 close(fd: 3<pipe:[580264]>                                            ) = 0
     0.090 ( 0.003 ms): pesquisaOverhe/6 access(filename: 0xabadc4e7                                           ) = -1 ENOENT No such file or directory
     0.096 ( 0.007 ms): pesquisaOverhe/6 open(filename: 0xabce4d68, flags: CLOEXEC                             ) = 3
     0.104 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3<pipe:[580264]>, buf: 0x7ffcf490c608, count: 832            ) = 832
     0.109 ( 0.002 ms): pesquisaOverhe/6 fstat(fd: 3<pipe:[580264]>, statbuf: 0x7ffcf490c4a0                   ) = 0
     0.113 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f44abcdc000
     0.121 ( 0.004 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f44ab720000
     0.127 ( 0.006 ms): pesquisaOverhe/6 mprotect(start: 0x7f44ab8b5000, len: 2097152                          ) = 0
     0.134 ( 0.006 ms): pesquisaOverhe/6 mmap(addr: 0x7f44abab5000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f44abab5000
     0.145 ( 0.004 ms): pesquisaOverhe/6 mmap(addr: 0x7f44ababb000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f44ababb000
     0.156 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3<pipe:[580264]>                                            ) = 0
     0.173 ( 0.002 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 139932916896832                        ) = 0
     0.224 ( 0.005 ms): pesquisaOverhe/6 mprotect(start: 0x7f44abab5000, len: 16384, prot: READ                ) = 0
     0.234 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x55e9f00e4000, len: 4096, prot: READ                 ) = 0
     0.241 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7f44abce2000, len: 4096, prot: READ                 ) = 0
     0.246 ( 0.005 ms): pesquisaOverhe/6 munmap(addr: 0x7f44abcde000, len: 13580                               ) = 0
     0.284 ([33m 0.012 ms[m): pesquisaOverhe/6 pipe2(fildes: 0x7ffcf490cba0, flags: CLOEXEC                          ) = 0
     0.298 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f44abcd3000
     0.303 ( 0.002 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffcf490cb20, oset: 0x7ffcf490cba8, sigsetsize: 8) = 0
         ? (     ?   ): sleep/7  ... [[33mcontinued[m]: execve()) = 0
     0.309 ([31m 2.333 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 139932916891632, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55e9efee4a28) ...
     2.641 ( 0.003 ms): sleep/7 brk(                                                                  ) = 0x5651d6d14000
     2.669 ( 0.007 ms): sleep/7 access(filename: 0xc26554e7                                           ) = -1 ENOENT No such file or directory
     2.679 ( 0.002 ms): sleep/7 access(filename: 0xc2657c70, mode: R                                  ) = -1 ENOENT No such file or directory
     2.685 ( 0.007 ms): sleep/7 open(filename: 0xc2655988, flags: CLOEXEC                             ) = 3
     2.694 ( 0.003 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffe2ce65920                                  ) = 0
     2.698 ( 0.004 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f0fc2857000
     2.704 ( 0.002 ms): sleep/7 close(fd: 3                                                           ) = 0
     2.711 ( 0.002 ms): sleep/7 access(filename: 0xc26554e7                                           ) = -1 ENOENT No such file or directory
     2.716 ( 0.007 ms): sleep/7 open(filename: 0xc285dd68, flags: CLOEXEC                             ) = 3
     2.725 ( 0.003 ms): sleep/7 read(fd: 3, buf: 0x7ffe2ce65ac8, count: 832                           ) = 832
     2.730 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffe2ce65960                                  ) = 0
     2.733 ( 0.003 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f0fc2855000
     2.741 ( 0.004 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f0fc2299000
     2.747 ( 0.006 ms): sleep/7 mprotect(start: 0x7f0fc242e000, len: 2097152                          ) = 0
     2.755 ( 0.006 ms): sleep/7 mmap(addr: 0x7f0fc262e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f0fc262e000
     2.772 ( 0.004 ms): sleep/7 mmap(addr: 0x7f0fc2634000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f0fc2634000
     2.782 ( 0.004 ms): sleep/7 close(fd: 3                                                           ) = 0
     2.834 ( 0.003 ms): sleep/7 arch_prctl(option: 4098, arg2: 139705664758912                        ) = 0
     2.905 ([33m 0.011 ms[m): sleep/7 mprotect(start: 0x7f0fc262e000, len: 16384, prot: READ                ) = 0
     2.923 ( 0.005 ms): sleep/7 mprotect(start: 0x5651d4e60000, len: 4096, prot: READ                 ) = 0
     2.933 ( 0.004 ms): sleep/7 mprotect(start: 0x7f0fc285b000, len: 4096, prot: READ                 ) = 0
     2.940 ( 0.009 ms): sleep/7 munmap(addr: 0x7f0fc2857000, len: 13580                               ) = 0
     3.054 ( 0.003 ms): sleep/7 brk(                                                                  ) = 0x5651d6d14000
     3.060 ( 0.005 ms): sleep/7 brk(brk: 0x5651d6d35000                                               ) = 0x5651d6d35000
     0.309 ([31m 2.807 ms[m): pesquisaOverhe/6  ... [[33mcontinued[m]: clone()) = 7 (sleep)
     3.103 ([33m 0.017 ms[m): sleep/7 nanosleep(rqtp: 0x7ffe2ce66270                                        ) ...
     3.120 ( 0.003 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     3.127 ( 0.003 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffcf490cb18, count: 4                             ) = 0
     3.132 ([33m 0.011 ms[m): pesquisaOverhe/6 munmap(addr: 0x7f44abcd3000, len: 36864                               ) = 0
     3.145 ( 0.002 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     3.163 ( 0.003 ms): pesquisaOverhe/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffcf490cba8, sigsetsize: 8      ) = 0
     3.173 (     ?   ): pesquisaOverhe/6 exit_group(                                                           )
     3.103 ([33m 0.177 ms[m): sleep/7  ... [[33mcontinued[m]: nanosleep()) = 0
     3.296 ( 0.003 ms): sleep/7 close(fd: 1                                                           ) = 0
     3.302 ( 0.006 ms): sleep/7 close(fd: 2                                                           ) = 0
     3.302 ([31m18446744073706.953 ms[m): sleep/7  ... [[33mcontinued[m]: clone()
     0.710 ( 0.003 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.714 ( 0.002 ms): sleep/7 rt_sigprocmask(how: BLOCK, oset: 0x7f44abcdbea0, sigsetsize: 8        ) = 0
     0.719 ( 0.002 ms): sleep/7 rt_sigaction(sig: HUP, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.723 ( 0.002 ms): sleep/7 rt_sigaction(sig: HUP, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.727 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.731 ( 0.002 ms): sleep/7 rt_sigaction(sig: INT, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.735 ( 0.002 ms): sleep/7 rt_sigaction(sig: QUIT, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.740 ( 0.009 ms): sleep/7 rt_sigaction(sig: QUIT, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.751 ( 0.002 ms): sleep/7 rt_sigaction(sig: ILL, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.755 ( 0.002 ms): sleep/7 rt_sigaction(sig: ILL, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.759 ( 0.002 ms): sleep/7 rt_sigaction(sig: TRAP, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.764 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.767 ( 0.002 ms): sleep/7 rt_sigaction(sig: ABRT, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.771 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.775 ( 0.002 ms): sleep/7 rt_sigaction(sig: BUS, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.779 ( 0.002 ms): sleep/7 rt_sigaction(sig: BUS, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
