         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x5585c0ca6000
     0.030 ( 0.003 ms): pesquisaOverhe/6 access(filename: 0x82e934e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0x82e95c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.039 ( 0.004 ms): pesquisaOverhe/6 open(filename: 0x82e93988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.002 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffd6a0295c0                                  ) = 0
     0.047 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fde83095000
     0.050 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/6 access(filename: 0x82e934e7                                           ) = -1 ENOENT No such file or directory
     0.057 ( 0.004 ms): pesquisaOverhe/6 open(filename: 0x8309bd68, flags: CLOEXEC                             ) = 3
     0.062 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffd6a029768, count: 832                           ) = 832
     0.065 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffd6a029600                                  ) = 0
     0.067 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fde83093000
     0.071 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fde82ad7000
     0.074 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7fde82c6c000, len: 2097152                          ) = 0
     0.079 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7fde82e6c000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fde82e6c000
     0.085 ( 0.002 ms): pesquisaOverhe/6 mmap(addr: 0x7fde82e72000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fde82e72000
     0.091 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 140593657889856                        ) = 0
     0.136 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7fde82e6c000, len: 16384, prot: READ                ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x5585bfa16000, len: 4096, prot: READ                 ) = 0
     0.145 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7fde83099000, len: 4096, prot: READ                 ) = 0
     0.148 ( 0.003 ms): pesquisaOverhe/6 munmap(addr: 0x7fde83095000, len: 13580                               ) = 0
     0.164 ( 0.007 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffd6a029d00, flags: CLOEXEC                          ) = 0
     0.172 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fde8308a000
     0.175 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffd6a029c80, oset: 0x7ffd6a029d08, sigsetsize: 8) = 0
     0.178 ([33m 0.556 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 140593657884656, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5585bf816a28) = 7 (pesquisaOverhea)
     0.737 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     0.741 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffd6a029c78, count: 4                             ) = 0
     0.744 ( 0.007 ms): pesquisaOverhe/6 munmap(addr: 0x7fde8308a000, len: 36864                               ) = 0
