         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55d52c105000
     0.030 ( 0.003 ms): pesquisaOverhe/8 access(filename: 0xb00ef4e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): pesquisaOverhe/8 access(filename: 0xb00f1c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.004 ms): pesquisaOverhe/8 open(filename: 0xb00ef988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.001 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe6e16f230                                  ) = 0
     0.047 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f1bb02f1000
     0.050 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/8 access(filename: 0xb00ef4e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): pesquisaOverhe/8 open(filename: 0xb02f7d68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe6e16f3d8, count: 832                           ) = 832
     0.064 ( 0.001 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe6e16f270                                  ) = 0
     0.066 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f1bb02ef000
     0.071 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f1bafd33000
     0.075 ( 0.004 ms): pesquisaOverhe/8 mprotect(start: 0x7f1bafec8000, len: 2097152                          ) = 0
     0.080 ( 0.003 ms): pesquisaOverhe/8 mmap(addr: 0x7f1bb00c8000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f1bb00c8000
     0.086 ( 0.002 ms): pesquisaOverhe/8 mmap(addr: 0x7f1bb00ce000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f1bb00ce000
     0.092 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.101 ( 0.001 ms): pesquisaOverhe/8 arch_prctl(option: 4098, arg2: 139756896715840                        ) = 0
     0.141 ( 0.004 ms): pesquisaOverhe/8 mprotect(start: 0x7f1bb00c8000, len: 16384, prot: READ                ) = 0
     0.148 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x55d52aad9000, len: 4096, prot: READ                 ) = 0
     0.153 ( 0.002 ms): pesquisaOverhe/8 mprotect(start: 0x7f1bb02f5000, len: 4096, prot: READ                 ) = 0
     0.157 ( 0.004 ms): pesquisaOverhe/8 munmap(addr: 0x7f1bb02f1000, len: 13580                               ) = 0
     0.181 ( 0.009 ms): pesquisaOverhe/8 pipe2(fildes: 0x7ffe6e16f970, flags: CLOEXEC                          ) = 0
     0.191 ( 0.002 ms): pesquisaOverhe/8 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f1bb02e6000
     0.195 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, nset: 0x7ffe6e16f8f0, oset: 0x7ffe6e16f978, sigsetsize: 8) = 0
         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: clone()
     0.198 ([33m 0.184 ms[m): pesquisaOverhe/8 clone(clone_flags: 16657, newsp: 139756896710640, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55d52a8d9a28) ...
     0.383 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.384 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: BLOCK, oset: 0x7f1bb02eeea0, sigsetsize: 8        ) = 0
     0.387 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, oact: 0x7f1bb02eedb0, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.390 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, oact: 0x7f1bb02eedb0, sigsetsize: 8            ) = 0
     0.392 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
