         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.036 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55a663ec6000
     0.055 ( 0.008 ms): pesquisaOverhe/7 access(filename: 0x23b314e7                                           ) = -1 ENOENT No such file or directory
     0.066 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x23b33c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.075 ( 0.008 ms): pesquisaOverhe/7 open(filename: 0x23b31988, flags: CLOEXEC                             ) = 3
     0.084 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd8174fe70                                  ) = 0
     0.087 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f5523d33000
     0.091 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.096 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x23b314e7                                           ) = -1 ENOENT No such file or directory
     0.101 ( 0.009 ms): pesquisaOverhe/7 open(filename: 0x23d39d68, flags: CLOEXEC                             ) = 3
     0.111 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd81750018, count: 832                           ) = 832
     0.117 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd8174feb0                                  ) = 0
     0.120 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f5523d31000
     0.127 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f5523775000
     0.133 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f552390a000, len: 2097152                          ) = 0
     0.139 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f5523b0a000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f5523b0a000
     0.149 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f5523b10000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f5523b10000
     0.159 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.173 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140003649987648                        ) = 0
     0.242 ( 0.006 ms): pesquisaOverhe/7 mprotect(start: 0x7f5523b0a000, len: 16384, prot: READ                ) = 0
     0.251 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x55a662cde000, len: 4096, prot: READ                 ) = 0
     0.256 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f5523d37000, len: 4096, prot: READ                 ) = 0
     0.260 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7f5523d33000, len: 13580                               ) = 0
     0.290 ( 0.010 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffd817505b0, flags: CLOEXEC                          ) = 0
     0.301 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f5523d28000
     0.306 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffd81750530, oset: 0x7ffd817505b8, sigsetsize: 8) = 0
     0.310 ([33m 0.777 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140003649982448, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55a662adea28) = 8 (pesquisaOverhea)
     1.090 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     1.095 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd81750528, count: 4                             ) = 0
     1.098 ( 0.008 ms): pesquisaOverhe/7 munmap(addr: 0x7f5523d28000, len: 36864                               ) = 0
     1.107 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     1.113 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffd817505b8, sigsetsize: 8      ) = 0
     1.122 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     1.140 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x562ffe258000
     1.156 ( 0.004 ms): sleep/8 access(filename: 0x635fd4e7                                           ) = -1 ENOENT No such file or directory
     1.162 ( 0.002 ms): sleep/8 access(filename: 0x635ffc70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.169 ( 0.004 ms): sleep/8 open(filename: 0x635fd988, flags: CLOEXEC                             ) = 3
     1.174 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc15dacce0                                  ) = 0
     1.178 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fc1637ff000
     1.182 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.186 ( 0.002 ms): sleep/8 access(filename: 0x635fd4e7                                           ) = -1 ENOENT No such file or directory
     1.192 ( 0.005 ms): sleep/8 open(filename: 0x63805d68, flags: CLOEXEC                             ) = 3
     1.198 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffc15dace88, count: 832                           ) = 832
     1.202 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc15dacd20                                  ) = 0
     1.204 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fc1637fd000
     1.210 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fc163241000
     1.215 ( 0.005 ms): sleep/8 mprotect(start: 0x7fc1633d6000, len: 2097152                          ) = 0
     1.221 ( 0.004 ms): sleep/8 mmap(addr: 0x7fc1635d6000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fc1635d6000
     1.229 ( 0.003 ms): sleep/8 mmap(addr: 0x7fc1635dc000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc1635dc000
