         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.026 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x558192fc0000
     0.038 ( 0.006 ms): pesquisaOverhe/7 access(filename: 0xc5e84e7                                            ) = -1 ENOENT No such file or directory
     0.048 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xc5eac70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.052 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xc5e8988, flags: CLOEXEC                              ) = 3
     0.058 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffee60ab290                                  ) = 0
     0.061 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fc70c7ea000
     0.066 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.070 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xc5e84e7                                            ) = -1 ENOENT No such file or directory
     0.074 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xc7f0d68, flags: CLOEXEC                              ) = 3
     0.080 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffee60ab438, count: 832                           ) = 832
     0.084 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffee60ab2d0                                  ) = 0
     0.087 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fc70c7e8000
     0.093 ( 0.004 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fc70c22c000
     0.098 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7fc70c3c1000, len: 2097152                          ) = 0
     0.104 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7fc70c5c1000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fc70c5c1000
     0.111 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7fc70c5c7000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc70c5c7000
     0.119 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.131 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140492884841536                        ) = 0
     0.172 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7fc70c5c1000, len: 16384, prot: READ                ) = 0
     0.179 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x558191ef2000, len: 4096, prot: READ                 ) = 0
     0.183 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7fc70c7ee000, len: 4096, prot: READ                 ) = 0
     0.187 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7fc70c7ea000, len: 13580                               ) = 0
     0.208 ( 0.007 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffee60ab9d0, flags: CLOEXEC                          ) = 0
     0.216 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fc70c7df000
     0.219 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffee60ab950, oset: 0x7ffee60ab9d8, sigsetsize: 8) = 0
     0.222 ([33m 0.502 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140492884836336, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x558191cf2a28) = 8 (pesquisaOverhea)
     0.728 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.731 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffee60ab948, count: 4                             ) = 0
     0.734 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7fc70c7df000, len: 36864                               ) = 0
     0.740 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.745 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffee60ab9d8, sigsetsize: 8      ) = 0
     0.751 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.769 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x561f34b01000
     0.782 ( 0.004 ms): sleep/8 access(filename: 0x87a394e7                                           ) = -1 ENOENT No such file or directory
     0.789 ( 0.002 ms): sleep/8 access(filename: 0x87a3bc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.795 ( 0.004 ms): sleep/8 open(filename: 0x87a39988, flags: CLOEXEC                             ) = 3
     0.799 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffcf52a33b0                                  ) = 0
     0.803 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6e87c3b000
     0.807 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.811 ( 0.002 ms): sleep/8 access(filename: 0x87a394e7                                           ) = -1 ENOENT No such file or directory
     0.814 ( 0.004 ms): sleep/8 open(filename: 0x87c41d68, flags: CLOEXEC                             ) = 3
     0.820 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffcf52a3558, count: 832                           ) = 832
     0.823 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffcf52a33f0                                  ) = 0
     0.826 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6e87c39000
     0.832 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f6e8767d000
     0.836 ( 0.004 ms): sleep/8 mprotect(start: 0x7f6e87812000, len: 2097152                          ) = 0
     0.840 ( 0.004 ms): sleep/8 mmap(addr: 0x7f6e87a12000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f6e87a12000
     0.848 ( 0.003 ms): sleep/8 mmap(addr: 0x7f6e87a18000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f6e87a18000
     0.856 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.872 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140112700875904                        ) = 0
     0.872 ([31m18446744073709.039 ms[m): sleep/8  ... [[33mcontinued[m]: clone()
     0.363 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.365 ( 0.001 ms): sleep/8 rt_sigprocmask(how: BLOCK, oset: 0x7fc70c7e7ea0, sigsetsize: 8        ) = 0
