         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x56113490b000
     0.028 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0xb3b764e7                                           ) = -1 ENOENT No such file or directory
     0.035 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xb3b78c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.039 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0xb3b76988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffede3e8300                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f08b3d78000
     0.050 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0xb3b764e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0xb3d7ed68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffede3e84a8, count: 832                           ) = 832
     0.064 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffede3e8340                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f08b3d76000
     0.070 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f08b37ba000
     0.073 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f08b394f000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f08b3b4f000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f08b3b4f000
     0.084 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f08b3b55000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f08b3b55000
     0.091 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
