         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): pesquisaOverhe/9 brk(                                                                  ) = 0x5562899c8000
     0.036 ( 0.004 ms): pesquisaOverhe/9 access(filename: 0xbf9a04e7                                           ) = -1 ENOENT No such file or directory
     0.043 ( 0.002 ms): pesquisaOverhe/9 access(filename: 0xbf9a2c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.048 ( 0.004 ms): pesquisaOverhe/9 open(filename: 0xbf9a0988, flags: CLOEXEC                             ) = 3
     0.052 ( 0.001 ms): pesquisaOverhe/9 fstat(fd: 3, statbuf: 0x7ffde9160d30                                  ) = 0
     0.055 ( 0.002 ms): pesquisaOverhe/9 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fe1bfba2000
     0.058 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.061 ( 0.002 ms): pesquisaOverhe/9 access(filename: 0xbf9a04e7                                           ) = -1 ENOENT No such file or directory
     0.065 ( 0.005 ms): pesquisaOverhe/9 open(filename: 0xbfba8d68, flags: CLOEXEC                             ) = 3
     0.070 ( 0.002 ms): pesquisaOverhe/9 read(fd: 3, buf: 0x7ffde9160ed8, count: 832                           ) = 832
     0.074 ( 0.001 ms): pesquisaOverhe/9 fstat(fd: 3, statbuf: 0x7ffde9160d70                                  ) = 0
     0.076 ( 0.002 ms): pesquisaOverhe/9 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fe1bfba0000
     0.082 ( 0.003 ms): pesquisaOverhe/9 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fe1bf5e4000
     0.086 ( 0.005 ms): pesquisaOverhe/9 mprotect(start: 0x7fe1bf779000, len: 2097152                          ) = 0
     0.092 ( 0.004 ms): pesquisaOverhe/9 mmap(addr: 0x7fe1bf979000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fe1bf979000
     0.100 ( 0.003 ms): pesquisaOverhe/9 mmap(addr: 0x7fe1bf97f000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fe1bf97f000
     0.108 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.120 ( 0.001 ms): pesquisaOverhe/9 arch_prctl(option: 4098, arg2: 140607561012288                        ) = 0
     0.159 ( 0.003 ms): pesquisaOverhe/9 mprotect(start: 0x7fe1bf979000, len: 16384, prot: READ                ) = 0
     0.165 ( 0.002 ms): pesquisaOverhe/9 mprotect(start: 0x556288a62000, len: 4096, prot: READ                 ) = 0
     0.169 ( 0.002 ms): pesquisaOverhe/9 mprotect(start: 0x7fe1bfba6000, len: 4096, prot: READ                 ) = 0
     0.171 ( 0.003 ms): pesquisaOverhe/9 munmap(addr: 0x7fe1bfba2000, len: 13580                               ) = 0
     0.190 ( 0.003 ms): pesquisaOverhe/9 pipe2(fildes: 0x7ffde9161470, flags: CLOEXEC                          ) = 0
     0.195 ( 0.002 ms): pesquisaOverhe/9 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fe1bfb97000
