         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.027 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ac1db23000
     0.038 ( 0.006 ms): pesquisaOverhe/6 access(filename: 0x76f44e7                                            ) = -1 ENOENT No such file or directory
     0.046 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0x76f6c70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.050 ( 0.006 ms): pesquisaOverhe/6 open(filename: 0x76f4988, flags: CLOEXEC                              ) = 3
     0.057 ( 0.002 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffee96912b0                                  ) = 0
     0.059 ( 0.004 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f83078f6000
     0.065 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.068 ( 0.001 ms): pesquisaOverhe/6 access(filename: 0x76f44e7                                            ) = -1 ENOENT No such file or directory
     0.072 ( 0.005 ms): pesquisaOverhe/6 open(filename: 0x78fcd68, flags: CLOEXEC                              ) = 3
     0.078 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffee9691458, count: 832                           ) = 832
     0.081 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffee96912f0                                  ) = 0
     0.084 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f83078f4000
     0.091 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f8307338000
     0.095 ( 0.005 ms): pesquisaOverhe/6 mprotect(start: 0x7f83074cd000, len: 2097152                          ) = 0
     0.101 ( 0.004 ms): pesquisaOverhe/6 mmap(addr: 0x7f83076cd000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f83076cd000
     0.109 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7f83076d3000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f83076d3000
     0.116 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.128 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 140200744277056                        ) = 0
     0.166 ( 0.004 ms): pesquisaOverhe/6 mprotect(start: 0x7f83076cd000, len: 16384, prot: READ                ) = 0
     0.172 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x55ac1ce2d000, len: 4096, prot: READ                 ) = 0
     0.177 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7f83078fa000, len: 4096, prot: READ                 ) = 0
     0.180 ( 0.003 ms): pesquisaOverhe/6 munmap(addr: 0x7f83078f6000, len: 13580                               ) = 0
     0.201 ( 0.004 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffee96919f0, flags: CLOEXEC                          ) = 0
     0.206 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f83078eb000
