         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55c335b2b000
     0.033 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0x51e194e7                                           ) = -1 ENOENT No such file or directory
     0.040 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x51e1bc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.046 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x51e19988, flags: CLOEXEC                             ) = 3
     0.050 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffccd53ef00                                  ) = 0
     0.052 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f3b5201b000
     0.057 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.061 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x51e194e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x52021d68, flags: CLOEXEC                             ) = 3
     0.071 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffccd53f0a8, count: 832                           ) = 832
     0.074 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffccd53ef40                                  ) = 0
     0.077 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f3b52019000
     0.082 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f3b51a5d000
     0.086 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f3b51bf2000, len: 2097152                          ) = 0
