         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55716b6a5000
     0.028 ( 0.003 ms): pesquisaOverhe/6 access(filename: 0x91e7f4e7                                           ) = -1 ENOENT No such file or directory
     0.033 ( 0.003 ms): pesquisaOverhe/6 access(filename: 0x91e81c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.039 ( 0.004 ms): pesquisaOverhe/6 open(filename: 0x91e7f988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffc0f7406e0                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fe892081000
     0.050 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/6 access(filename: 0x91e7f4e7                                           ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): pesquisaOverhe/6 open(filename: 0x92087d68, flags: CLOEXEC                             ) = 3
     0.060 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffc0f740888, count: 832                           ) = 832
     0.063 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffc0f740720                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fe89207f000
     0.069 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fe891ac3000
     0.073 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7fe891c58000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7fe891e58000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fe891e58000
     0.083 ( 0.002 ms): pesquisaOverhe/6 mmap(addr: 0x7fe891e5e000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fe891e5e000
     0.090 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.099 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 140636859139136                        ) = 0
     0.134 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7fe891e58000, len: 16384, prot: READ                ) = 0
     0.139 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x55716a403000, len: 4096, prot: READ                 ) = 0
     0.143 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7fe892085000, len: 4096, prot: READ                 ) = 0
     0.146 ( 0.003 ms): pesquisaOverhe/6 munmap(addr: 0x7fe892081000, len: 13580                               ) = 0
     0.164 ( 0.003 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffc0f740e20, flags: CLOEXEC                          ) = 0
     0.168 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fe892076000
     0.171 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffc0f740da0, oset: 0x7ffc0f740e28, sigsetsize: 8) = 0
     0.174 ([33m 0.500 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 140636859133936, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55716a203a28) = 7 (pesquisaOverhea)
     0.677 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     0.680 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffc0f740d98, count: 4                             ) = 0
