         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x560b61f50000
     0.031 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0xefb8b4e7                                           ) = -1 ENOENT No such file or directory
     0.037 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xefb8dc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.043 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0xefb8b988, flags: CLOEXEC                             ) = 3
     0.048 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc2c747ca0                                  ) = 0
     0.050 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fa6efd8d000
     0.053 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.057 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0xefb8b4e7                                           ) = -1 ENOENT No such file or directory
     0.060 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0xefd93d68, flags: CLOEXEC                             ) = 3
     0.065 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc2c747e48, count: 832                           ) = 832
     0.068 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc2c747ce0                                  ) = 0
     0.070 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fa6efd8b000
     0.074 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fa6ef7cf000
     0.077 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7fa6ef964000, len: 2097152                          ) = 0
     0.082 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7fa6efb64000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fa6efb64000
     0.089 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7fa6efb6a000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fa6efb6a000
     0.096 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.104 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140354965259328                        ) = 0
     0.142 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7fa6efb64000, len: 16384, prot: READ                ) = 0
     0.147 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x560b61eb5000, len: 4096, prot: READ                 ) = 0
     0.151 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7fa6efd91000, len: 4096, prot: READ                 ) = 0
     0.154 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7fa6efd8d000, len: 13580                               ) = 0
     0.176 ( 0.008 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffc2c7483e0, flags: CLOEXEC                          ) = 0
     0.185 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fa6efd82000
     0.188 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffc2c748360, oset: 0x7ffc2c7483e8, sigsetsize: 8) = 0
