         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55c540ae9000
     0.027 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0x419a94e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x419abc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.038 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x419a9988, flags: CLOEXEC                             ) = 3
     0.043 ( 0.002 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc340c7160                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f9541bab000
     0.049 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x419a94e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x41bb1d68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc340c7308, count: 832                           ) = 832
     0.064 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc340c71a0                                  ) = 0
     0.066 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f9541ba9000
     0.071 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f95415ed000
     0.074 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f9541782000, len: 2097152                          ) = 0
     0.079 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f9541982000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f9541982000
     0.085 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f9541988000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f9541988000
     0.092 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.100 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140279029605440                        ) = 0
     0.136 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f9541982000, len: 16384, prot: READ                ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x55c5408e1000, len: 4096, prot: READ                 ) = 0
     0.144 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f9541baf000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7f9541bab000, len: 13580                               ) = 0
     0.166 ( 0.005 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffc340c78a0, flags: CLOEXEC                          ) = 0
     0.172 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f9541ba0000
     0.175 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffc340c7820, oset: 0x7ffc340c78a8, sigsetsize: 8) = 0
         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()
     0.178 ([33m 0.152 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140279029600240, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55c5406e1a28) ...
     0.330 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.332 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, oset: 0x7f9541ba8ea0, sigsetsize: 8        ) = 0
     0.334 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
     0.336 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: HUP, act: 0x7f9541ba8d10, sigsetsize: 8             ) = 0
     0.338 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
     0.339 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: INT, act: 0x7f9541ba8d10, sigsetsize: 8             ) = 0
     0.341 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.343 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: QUIT, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.344 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: ILL, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
