         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.028 ( 0.002 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x564e22b8e000
     0.043 ( 0.008 ms): pesquisaOverhe/8 access(filename: 0xa64814e7                                           ) = -1 ENOENT No such file or directory
     0.053 ( 0.002 ms): pesquisaOverhe/8 access(filename: 0xa6483c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.058 ( 0.006 ms): pesquisaOverhe/8 open(filename: 0xa6481988, flags: CLOEXEC                             ) = 3
     0.066 ( 0.002 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe0f408380                                  ) = 0
     0.069 ( 0.004 ms): pesquisaOverhe/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fc3a6683000
     0.074 ( 0.002 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.079 ( 0.002 ms): pesquisaOverhe/8 access(filename: 0xa64814e7                                           ) = -1 ENOENT No such file or directory
     0.083 ( 0.006 ms): pesquisaOverhe/8 open(filename: 0xa6689d68, flags: CLOEXEC                             ) = 3
     0.090 ( 0.003 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe0f408528, count: 832                           ) = 832
     0.095 ( 0.001 ms): pesquisaOverhe/8 fstat(fd: 3, statbuf: 0x7ffe0f4083c0                                  ) = 0
     0.097 ( 0.003 ms): pesquisaOverhe/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fc3a6681000
     0.104 ( 0.004 ms): pesquisaOverhe/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fc3a60c5000
     0.108 ( 0.004 ms): pesquisaOverhe/8 mprotect(start: 0x7fc3a625a000, len: 2097152                          ) = 0
     0.114 ( 0.004 ms): pesquisaOverhe/8 mmap(addr: 0x7fc3a645a000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fc3a645a000
     0.122 ( 0.003 ms): pesquisaOverhe/8 mmap(addr: 0x7fc3a6460000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc3a6460000
     0.130 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     0.142 ( 0.002 ms): pesquisaOverhe/8 arch_prctl(option: 4098, arg2: 140478287193152                        ) = 0
     0.191 ( 0.005 ms): pesquisaOverhe/8 mprotect(start: 0x7fc3a645a000, len: 16384, prot: READ                ) = 0
     0.199 ( 0.003 ms): pesquisaOverhe/8 mprotect(start: 0x564e222f6000, len: 4096, prot: READ                 ) = 0
     0.205 ( 0.003 ms): pesquisaOverhe/8 mprotect(start: 0x7fc3a6687000, len: 4096, prot: READ                 ) = 0
     0.209 ( 0.005 ms): pesquisaOverhe/8 munmap(addr: 0x7fc3a6683000, len: 13580                               ) = 0
     0.233 ([33m 0.011 ms[m): pesquisaOverhe/8 pipe2(fildes: 0x7ffe0f408ac0, flags: CLOEXEC                          ) = 0
     0.246 ( 0.003 ms): pesquisaOverhe/8 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fc3a6678000
     0.250 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: BLOCK, nset: 0x7ffe0f408a40, oset: 0x7ffe0f408ac8, sigsetsize: 8) = 0
     0.254 ([33m 0.789 ms[m): pesquisaOverhe/8 clone(clone_flags: 16657, newsp: 140478287187952, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x564e220f6a28) = 9 (pesquisaOverhea)
     1.046 ( 0.001 ms): pesquisaOverhe/8 close(fd: 4                                                           ) = 0
     1.050 ( 0.002 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe0f408a38, count: 4                             ) = 0
     1.053 ( 0.009 ms): pesquisaOverhe/8 munmap(addr: 0x7fc3a6678000, len: 36864                               ) = 0
     1.063 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     1.069 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe0f408ac8, sigsetsize: 8      ) = 0
     1.079 (     ?   ): pesquisaOverhe/8 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: clone()
     0.449 ( 0.001 ms): pesquisaOverhe/9 close(fd: 3                                                           ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: BLOCK, oset: 0x7fc3a6680ea0, sigsetsize: 8        ) = 0
     0.454 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: HUP, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.459 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: INT, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: QUIT, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ILL, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TRAP, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.478 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ABRT, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: BUS, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: FPE, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR1, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SEGV, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: USR2, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PIPE, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: ALRM, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TERM, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, oact: 0x7fc3a6680db0, sigsetsize: 8         ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: STKFLT, act: 0x7fc3a6680d10, sigsetsize: 8          ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CHLD, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, oact: 0x7fc3a6680db0, sigsetsize: 8         ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, act: 0x7fc3a6680d10, sigsetsize: 8          ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, oact: 0x7fc3a6680db0, sigsetsize: 8          ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, act: 0x7fc3a6680d10, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, oact: 0x7fc3a6680db0, sigsetsize: 8             ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, act: 0x7fc3a6680d10, sigsetsize: 8              ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, oact: 0x7fc3a6680db0, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, act: 0x7fc3a6680d10, sigsetsize: 8             ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x20, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x21, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, act: 0x7fc3a6680d10, sigsetsize: 8            ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, oact: 0x7fc3a6680db0, sigsetsize: 8           ) = 0
