         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ead5b54000
     0.032 ( 0.004 ms): pesquisaOverhe/6 access(filename: 0xdc8954e7                                           ) = -1 ENOENT No such file or directory
     0.039 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0xdc897c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.045 ( 0.003 ms): pesquisaOverhe/6 open(filename: 0xdc895988, flags: CLOEXEC                             ) = 3
     0.050 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7fff2bbceff0                                  ) = 0
     0.052 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7ff9dca97000
     0.056 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.060 ( 0.002 ms): pesquisaOverhe/6 access(filename: 0xdc8954e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): pesquisaOverhe/6 open(filename: 0xdca9dd68, flags: CLOEXEC                             ) = 3
     0.070 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7fff2bbcf198, count: 832                           ) = 832
     0.074 ( 0.001 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7fff2bbcf030                                  ) = 0
     0.076 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7ff9dca95000
     0.081 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7ff9dc4d9000
     0.086 ( 0.004 ms): pesquisaOverhe/6 mprotect(start: 0x7ff9dc66e000, len: 2097152                          ) = 0
     0.091 ( 0.004 ms): pesquisaOverhe/6 mmap(addr: 0x7ff9dc86e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7ff9dc86e000
     0.099 ( 0.003 ms): pesquisaOverhe/6 mmap(addr: 0x7ff9dc874000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7ff9dc874000
     0.107 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.119 ( 0.001 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 140711125673024                        ) = 0
     0.158 ( 0.004 ms): pesquisaOverhe/6 mprotect(start: 0x7ff9dc86e000, len: 16384, prot: READ                ) = 0
     0.165 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x55ead49cf000, len: 4096, prot: READ                 ) = 0
     0.170 ( 0.002 ms): pesquisaOverhe/6 mprotect(start: 0x7ff9dca9b000, len: 4096, prot: READ                 ) = 0
     0.174 ( 0.004 ms): pesquisaOverhe/6 munmap(addr: 0x7ff9dca97000, len: 13580                               ) = 0
     0.198 ( 0.006 ms): pesquisaOverhe/6 pipe2(fildes: 0x7fff2bbcf730, flags: CLOEXEC                          ) = 0
     0.206 ( 0.002 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7ff9dca8c000
     0.209 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7fff2bbcf6b0, oset: 0x7fff2bbcf738, sigsetsize: 8) = 0
     0.214 ([33m 0.461 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 140711125667824, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55ead47cfa28) = 7 (pesquisaOverhea)
     0.677 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     0.680 ( 0.001 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7fff2bbcf6a8, count: 4                             ) = 0
     0.682 ( 0.006 ms): pesquisaOverhe/6 munmap(addr: 0x7ff9dca8c000, len: 36864                               ) = 0
     0.690 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.694 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: SETMASK, nset: 0x7fff2bbcf738, sigsetsize: 8      ) = 0
     0.702 (     ?   ): pesquisaOverhe/6 exit_group(                                                           )
         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()
     0.357 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.359 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, oset: 0x7ff9dca94ea0, sigsetsize: 8        ) = 0
     0.360 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: HUP, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.362 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: HUP, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.364 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: INT, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.366 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: INT, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.367 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: QUIT, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.369 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: QUIT, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.370 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ILL, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.372 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ILL, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.374 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TRAP, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.375 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TRAP, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.377 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.378 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ABRT, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.380 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: BUS, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.382 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: BUS, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.383 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.385 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: FPE, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.386 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.388 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR1, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.390 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SEGV, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.393 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: USR2, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.396 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.398 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PIPE, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.401 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: ALRM, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.404 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TERM, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.406 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, oact: 0x7ff9dca94db0, sigsetsize: 8         ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: STKFLT, act: 0x7ff9dca94d10, sigsetsize: 8          ) = 0
     0.409 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: CHLD, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
