         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55776b2ea000
     0.033 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0x9d0854e7                                           ) = -1 ENOENT No such file or directory
     0.040 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x9d087c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.045 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0x9d085988, flags: CLOEXEC                             ) = 3
     0.050 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffcc708a1d0                                  ) = 0
     0.052 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f8e9d287000
     0.056 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.060 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x9d0854e7                                           ) = -1 ENOENT No such file or directory
     0.064 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0x9d28dd68, flags: CLOEXEC                             ) = 3
     0.070 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffcc708a378, count: 832                           ) = 832
     0.073 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffcc708a210                                  ) = 0
     0.076 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f8e9d285000
     0.083 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f8e9ccc9000
     0.087 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f8e9ce5e000, len: 2097152                          ) = 0
     0.092 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f8e9d05e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f8e9d05e000
     0.100 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f8e9d064000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f8e9d064000
     0.108 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.120 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140250498753600                        ) = 0
     0.158 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f8e9d05e000, len: 16384, prot: READ                ) = 0
     0.165 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x55776adb6000, len: 4096, prot: READ                 ) = 0
     0.170 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f8e9d28b000, len: 4096, prot: READ                 ) = 0
     0.174 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7f8e9d287000, len: 13580                               ) = 0
     0.198 ( 0.009 ms): pesquisaOverhe/7 pipe2(fildes: 0x7ffcc708a910, flags: CLOEXEC                          ) = 0
     0.208 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f8e9d27c000
     0.212 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffcc708a890, oset: 0x7ffcc708a918, sigsetsize: 8) = 0
         ? (     ?   ): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.216 ([33m 0.504 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140250498748400, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55776abb6a28) ...
     0.720 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55fab78fa000
     0.732 ( 0.004 ms): sleep/8 access(filename: 0xce3eb4e7                                           ) = -1 ENOENT No such file or directory
     0.738 ( 0.002 ms): sleep/8 access(filename: 0xce3edc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.744 ( 0.003 ms): sleep/8 open(filename: 0xce3eb988, flags: CLOEXEC                             ) = 3
