         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55693e16d000
     0.068 ( 0.007 ms): pesquisaOverhe/7 access(filename: 0x362f44e7                                           ) = -1 ENOENT No such file or directory
     0.079 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x362f6c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.085 ( 0.009 ms): pesquisaOverhe/7 open(filename: 0x362f4988, flags: CLOEXEC                             ) = 3
     0.097 ( 0.004 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd537048d0                                  ) = 0
     0.102 ( 0.007 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f29364f6000
     0.112 ( 0.002 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.118 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x362f44e7                                           ) = -1 ENOENT No such file or directory
     0.124 ( 0.007 ms): pesquisaOverhe/7 open(filename: 0x364fcd68, flags: CLOEXEC                             ) = 3
     0.133 ( 0.003 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd53704a78, count: 832                           ) = 832
     0.139 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffd53704910                                  ) = 0
     0.145 ( 0.006 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f29364f4000
     0.160 ( 0.007 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2935f38000
     0.168 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7f29360cd000, len: 2097152                          ) = 0
     0.175 ( 0.006 ms): pesquisaOverhe/7 mmap(addr: 0x7f29362cd000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f29362cd000
     0.186 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7f29362d3000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f29362d3000
     0.197 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.230 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139814981555264                        ) = 0
