         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.018 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x561bfd1d9000
     0.028 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0x712d4e7                                            ) = -1 ENOENT No such file or directory
     0.033 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0x712fc70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.038 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x712d988, flags: CLOEXEC                              ) = 3
     0.042 ( 0.003 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc02d86ab0                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f290732f000
     0.049 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.052 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0x712d4e7                                            ) = -1 ENOENT No such file or directory
     0.055 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0x7335d68, flags: CLOEXEC                              ) = 3
     0.060 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc02d86c58, count: 832                           ) = 832
     0.063 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffc02d86af0                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f290732d000
     0.069 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f2906d71000
     0.073 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f2906f06000, len: 2097152                          ) = 0
     0.077 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f2907106000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f2907106000
     0.084 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f290710c000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f290710c000
     0.090 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.098 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 139814191162432                        ) = 0
     0.134 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f2907106000, len: 16384, prot: READ                ) = 0
     0.140 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x561bfc223000, len: 4096, prot: READ                 ) = 0
