         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5599a262f000
     0.029 ( 0.004 ms): pesquisaOverhe/7 access(filename: 0xd1f8f4e7                                           ) = -1 ENOENT No such file or directory
     0.034 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xd1f91c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.040 ( 0.003 ms): pesquisaOverhe/7 open(filename: 0xd1f8f988, flags: CLOEXEC                             ) = 3
     0.044 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fffc1c42ff0                                  ) = 0
     0.046 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f92d2191000
     0.050 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.053 ( 0.001 ms): pesquisaOverhe/7 access(filename: 0xd1f8f4e7                                           ) = -1 ENOENT No such file or directory
     0.056 ( 0.004 ms): pesquisaOverhe/7 open(filename: 0xd2197d68, flags: CLOEXEC                             ) = 3
     0.061 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7fffc1c43198, count: 832                           ) = 832
     0.063 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7fffc1c43030                                  ) = 0
     0.065 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f92d218f000
     0.070 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f92d1bd3000
     0.073 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7f92d1d68000, len: 2097152                          ) = 0
     0.078 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7f92d1f68000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f92d1f68000
     0.084 ( 0.002 ms): pesquisaOverhe/7 mmap(addr: 0x7f92d1f6e000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f92d1f6e000
     0.090 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.099 ( 0.001 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140268566807616                        ) = 0
     0.136 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7f92d1f68000, len: 16384, prot: READ                ) = 0
     0.141 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x5599a1b11000, len: 4096, prot: READ                 ) = 0
     0.145 ( 0.002 ms): pesquisaOverhe/7 mprotect(start: 0x7f92d2195000, len: 4096, prot: READ                 ) = 0
     0.147 ( 0.003 ms): pesquisaOverhe/7 munmap(addr: 0x7f92d2191000, len: 13580                               ) = 0
     0.167 ( 0.008 ms): pesquisaOverhe/7 pipe2(fildes: 0x7fffc1c43730, flags: CLOEXEC                          ) = 0
     0.176 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f92d2186000
     0.179 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7fffc1c436b0, oset: 0x7fffc1c43738, sigsetsize: 8) = 0
