         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.084 ( 0.004 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x557692810000
     0.114 ([33m 0.019 ms[m): pesquisaOverhe/6 access(filename: 0x903354e7                                           ) = -1 ENOENT No such file or directory
     0.139 ( 0.006 ms): pesquisaOverhe/6 access(filename: 0x90337c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.156 ([33m 0.016 ms[m): pesquisaOverhe/6 open(filename: 0x90335988, flags: CLOEXEC                             ) = 3
     0.173 ( 0.003 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffdac93ac00                                  ) = 0
     0.177 ([33m 0.014 ms[m): pesquisaOverhe/6 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f0e90537000
     0.192 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.198 ( 0.004 ms): pesquisaOverhe/6 access(filename: 0x903354e7                                           ) = -1 ENOENT No such file or directory
     0.205 ([33m 0.014 ms[m): pesquisaOverhe/6 open(filename: 0x9053dd68, flags: CLOEXEC                             ) = 3
     0.221 ( 0.008 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffdac93ada8, count: 832                           ) = 832
     0.232 ( 0.003 ms): pesquisaOverhe/6 fstat(fd: 3, statbuf: 0x7ffdac93ac40                                  ) = 0
     0.236 ( 0.006 ms): pesquisaOverhe/6 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f0e90535000
     0.250 ( 0.008 ms): pesquisaOverhe/6 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f0e8ff79000
     0.259 ([33m 0.014 ms[m): pesquisaOverhe/6 mprotect(start: 0x7f0e9010e000, len: 2097152                          ) = 0
     0.276 ( 0.010 ms): pesquisaOverhe/6 mmap(addr: 0x7f0e9030e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f0e9030e000
     0.318 ( 0.007 ms): pesquisaOverhe/6 mmap(addr: 0x7f0e90314000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f0e90314000
     0.341 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.389 ( 0.006 ms): pesquisaOverhe/6 arch_prctl(option: 4098, arg2: 139700527653952                        ) = 0
     0.494 ( 0.007 ms): pesquisaOverhe/6 mprotect(start: 0x7f0e9030e000, len: 16384, prot: READ                ) = 0
     0.504 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x557692670000, len: 4096, prot: READ                 ) = 0
     0.510 ( 0.003 ms): pesquisaOverhe/6 mprotect(start: 0x7f0e9053b000, len: 4096, prot: READ                 ) = 0
     0.514 ( 0.005 ms): pesquisaOverhe/6 munmap(addr: 0x7f0e90537000, len: 13580                               ) = 0
     0.541 ( 0.008 ms): pesquisaOverhe/6 pipe2(fildes: 0x7ffdac93b340, flags: CLOEXEC                          ) = 0
     0.550 ( 0.003 ms): pesquisaOverhe/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7f0e9052c000
     0.555 ( 0.002 ms): pesquisaOverhe/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffdac93b2c0, oset: 0x7ffdac93b348, sigsetsize: 8) = 0
         ? (     ?   ): sleep/7  ... [[33mcontinued[m]: execve()) = 0
     0.559 ([33m 0.622 ms[m): pesquisaOverhe/6 clone(clone_flags: 16657, newsp: 139700527648752, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x557692470a28) ...
     1.181 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x563469d74000
     1.195 ( 0.004 ms): sleep/7 access(filename: 0x6d2d14e7                                           ) = -1 ENOENT No such file or directory
     1.201 ( 0.002 ms): sleep/7 access(filename: 0x6d2d3c70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.206 ( 0.004 ms): sleep/7 open(filename: 0x6d2d1988, flags: CLOEXEC                             ) = 3
     1.211 ( 0.003 ms): sleep/7 fstat(fd: 3, statbuf: 0x7fffce7de4b0                                  ) = 0
     1.215 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fe96d4d3000
     1.219 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     1.224 ( 0.002 ms): sleep/7 access(filename: 0x6d2d14e7                                           ) = -1 ENOENT No such file or directory
     1.227 ( 0.005 ms): sleep/7 open(filename: 0x6d4d9d68, flags: CLOEXEC                             ) = 3
     1.234 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7fffce7de658, count: 832                           ) = 832
     1.238 ( 0.001 ms): sleep/7 fstat(fd: 3, statbuf: 0x7fffce7de4f0                                  ) = 0
     1.241 ( 0.002 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fe96d4d1000
     1.246 ( 0.003 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fe96cf15000
     1.251 ( 0.005 ms): sleep/7 mprotect(start: 0x7fe96d0aa000, len: 2097152                          ) = 0
     1.257 ( 0.005 ms): sleep/7 mmap(addr: 0x7fe96d2aa000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fe96d2aa000
     1.274 ( 0.003 ms): sleep/7 mmap(addr: 0x7fe96d2b0000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fe96d2b0000
     1.283 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     1.296 ( 0.001 ms): sleep/7 arch_prctl(option: 4098, arg2: 140640537879680                        ) = 0
     1.343 ( 0.004 ms): sleep/7 mprotect(start: 0x7fe96d2aa000, len: 16384, prot: READ                ) = 0
     1.351 ( 0.003 ms): sleep/7 mprotect(start: 0x563468ba6000, len: 4096, prot: READ                 ) = 0
     1.357 ( 0.003 ms): sleep/7 mprotect(start: 0x7fe96d4d7000, len: 4096, prot: READ                 ) = 0
     1.361 ( 0.004 ms): sleep/7 munmap(addr: 0x7fe96d4d3000, len: 13580                               ) = 0
     1.412 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x563469d74000
     1.414 ( 0.002 ms): sleep/7 brk(brk: 0x563469d95000                                               ) = 0x563469d95000
     0.559 ([33m 0.883 ms[m): pesquisaOverhe/6  ... [[33mcontinued[m]: clone()) = 7 (sleep)
     1.435 ( 0.008 ms): sleep/7 nanosleep(rqtp: 0x7fffce7dee00                                        ) ...
     1.443 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     1.447 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffdac93b2b8, count: 4                             ) = 0
     1.450 ( 0.005 ms): pesquisaOverhe/6 munmap(addr: 0x7f0e9052c000, len: 36864                               ) = 0
     1.457 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     1.462 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffdac93b348, sigsetsize: 8      ) = 0
     1.470 (     ?   ): pesquisaOverhe/6 exit_group(                                                           )
     1.435 ([33m 0.096 ms[m): sleep/7  ... [[33mcontinued[m]: nanosleep()) = 0
     1.539 ( 0.001 ms): sleep/7 close(fd: 1                                                           ) = 0
     1.543 ( 0.001 ms): sleep/7 close(fd: 2                                                           ) = 0
     1.543 ([31m18446744073708.746 ms[m): sleep/7  ... [[33mcontinued[m]: clone()
     0.744 ( 0.002 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.747 ( 0.001 ms): sleep/7 rt_sigprocmask(how: BLOCK, oset: 0x7f0e90534ea0, sigsetsize: 8        ) = 0
     0.749 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.751 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.752 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.754 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.758 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.760 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.762 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
